date,time,e440,e470,e532,jsp,replicate,file,melange,hms,second,x_strain,y_strain,melange_full,souche_ajoutee,concentration,melange_2,volume,volume_culture,volume_milieu,volume_culture_vrai,concentration_vrai
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NANA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,melange_1,NA,NA,RCC3006,RCC1717,melange_1NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-11-06,16:56:56,94,63,74,540,1,blanc,melange_1,56,0,RCC3006,RCC1717,melange_1blanc,NA,NA,NA,NA,NA,NA,NA,0
2020-11-06,16:56:57,93,67,73,540,1,blanc,melange_1,57,1,RCC3006,RCC1717,melange_1blanc,NA,NA,NA,NA,NA,NA,NA,0
2020-11-06,16:56:58,97,68,74,540,1,blanc,melange_1,58,2,RCC3006,RCC1717,melange_1blanc,NA,NA,NA,NA,NA,NA,NA,0
2020-11-06,16:56:59,95,67,72,539,1,blanc,melange_1,59,3,RCC3006,RCC1717,melange_1blanc,NA,NA,NA,NA,NA,NA,NA,0
2020-11-06,16:57:00,97,67,73,539,1,blanc,melange_1,0,4,RCC3006,RCC1717,melange_1blanc,NA,NA,NA,NA,NA,NA,NA,0
2020-11-06,16:57:01,99,67,75,539,1,blanc,melange_1,1,5,RCC3006,RCC1717,melange_1blanc,NA,NA,NA,NA,NA,NA,NA,0
2020-11-06,16:57:02,95,65,70,539,1,blanc,melange_1,2,6,RCC3006,RCC1717,melange_1blanc,NA,NA,NA,NA,NA,NA,NA,0
2020-11-06,16:57:03,96,67,78,539,1,blanc,melange_1,3,7,RCC3006,RCC1717,melange_1blanc,NA,NA,NA,NA,NA,NA,NA,0
2020-11-06,16:57:04,94,68,73,539,1,blanc,melange_1,4,8,RCC3006,RCC1717,melange_1blanc,NA,NA,NA,NA,NA,NA,NA,0
2020-11-06,16:57:06,97,67,71,539,1,blanc,melange_1,6,10,RCC3006,RCC1717,melange_1blanc,NA,NA,NA,NA,NA,NA,NA,0
2020-11-06,16:57:07,97,69,75,539,1,blanc,melange_1,7,11,RCC3006,RCC1717,melange_1blanc,NA,NA,NA,NA,NA,NA,NA,0
2020-11-06,16:57:08,91,65,70,538,1,blanc,melange_1,8,12,RCC3006,RCC1717,melange_1blanc,NA,NA,NA,NA,NA,NA,NA,0
2020-11-06,16:57:09,98,67,75,538,1,blanc,melange_1,9,13,RCC3006,RCC1717,melange_1blanc,NA,NA,NA,NA,NA,NA,NA,0
2020-11-06,16:57:10,96,68,74,539,1,blanc,melange_1,10,14,RCC3006,RCC1717,melange_1blanc,NA,NA,NA,NA,NA,NA,NA,0
2020-11-06,16:57:11,97,65,74,538,1,blanc,melange_1,11,15,RCC3006,RCC1717,melange_1blanc,NA,NA,NA,NA,NA,NA,NA,0
2020-11-06,16:57:12,94,67,74,538,1,blanc,melange_1,12,16,RCC3006,RCC1717,melange_1blanc,NA,NA,NA,NA,NA,NA,NA,0
2020-11-06,16:57:13,96,67,72,538,1,blanc,melange_1,13,17,RCC3006,RCC1717,melange_1blanc,NA,NA,NA,NA,NA,NA,NA,0
2020-11-06,16:57:14,94,67,73,538,1,blanc,melange_1,14,18,RCC3006,RCC1717,melange_1blanc,NA,NA,NA,NA,NA,NA,NA,0
2020-11-06,16:57:15,95,66,73,538,1,blanc,melange_1,15,19,RCC3006,RCC1717,melange_1blanc,NA,NA,NA,NA,NA,NA,NA,0
2020-11-06,16:57:16,96,65,70,538,1,blanc,melange_1,16,20,RCC3006,RCC1717,melange_1blanc,NA,NA,NA,NA,NA,NA,NA,0
2020-11-06,16:57:17,95,68,76,538,1,blanc,melange_1,17,21,RCC3006,RCC1717,melange_1blanc,NA,NA,NA,NA,NA,NA,NA,0
2020-11-06,16:57:18,96,67,75,538,1,blanc,melange_1,18,22,RCC3006,RCC1717,melange_1blanc,NA,NA,NA,NA,NA,NA,NA,0
2020-11-06,16:57:19,96,66,75,538,1,blanc,melange_1,19,23,RCC3006,RCC1717,melange_1blanc,NA,NA,NA,NA,NA,NA,NA,0
2020-11-06,16:57:20,96,63,73,538,1,blanc,melange_1,20,24,RCC3006,RCC1717,melange_1blanc,NA,NA,NA,NA,NA,NA,NA,0
2020-11-06,16:57:21,95,67,74,538,1,blanc,melange_1,21,25,RCC3006,RCC1717,melange_1blanc,NA,NA,NA,NA,NA,NA,NA,0
2020-11-06,16:57:23,98,68,74,538,1,blanc,melange_1,23,27,RCC3006,RCC1717,melange_1blanc,NA,NA,NA,NA,NA,NA,NA,0
2020-11-06,16:57:24,99,65,74,538,1,blanc,melange_1,24,28,RCC3006,RCC1717,melange_1blanc,NA,NA,NA,NA,NA,NA,NA,0
2020-11-06,16:57:25,92,67,74,538,1,blanc,melange_1,25,29,RCC3006,RCC1717,melange_1blanc,NA,NA,NA,NA,NA,NA,NA,0
2020-11-06,16:57:26,97,67,75,538,1,blanc,melange_1,26,30,RCC3006,RCC1717,melange_1blanc,NA,NA,NA,NA,NA,NA,NA,0
2020-11-06,16:57:27,95,65,72,538,1,blanc,melange_1,27,31,RCC3006,RCC1717,melange_1blanc,NA,NA,NA,NA,NA,NA,NA,0
2020-11-06,16:57:28,97,66,76,538,1,blanc,melange_1,28,32,RCC3006,RCC1717,melange_1blanc,NA,NA,NA,NA,NA,NA,NA,0
2020-11-06,16:57:29,93,67,72,538,1,blanc,melange_1,29,33,RCC3006,RCC1717,melange_1blanc,NA,NA,NA,NA,NA,NA,NA,0
2020-11-06,16:57:30,94,67,75,538,1,blanc,melange_1,30,34,RCC3006,RCC1717,melange_1blanc,NA,NA,NA,NA,NA,NA,NA,0
2020-11-06,16:57:31,98,68,75,538,1,blanc,melange_1,31,35,RCC3006,RCC1717,melange_1blanc,NA,NA,NA,NA,NA,NA,NA,0
2020-11-06,16:57:32,98,68,74,538,1,blanc,melange_1,32,36,RCC3006,RCC1717,melange_1blanc,NA,NA,NA,NA,NA,NA,NA,0
2020-11-06,16:57:33,95,65,74,538,1,blanc,melange_1,33,37,RCC3006,RCC1717,melange_1blanc,NA,NA,NA,NA,NA,NA,NA,0
2020-11-06,16:57:34,95,69,76,538,1,blanc,melange_1,34,38,RCC3006,RCC1717,melange_1blanc,NA,NA,NA,NA,NA,NA,NA,0
2020-11-06,16:57:35,96,68,74,538,1,blanc,melange_1,35,39,RCC3006,RCC1717,melange_1blanc,NA,NA,NA,NA,NA,NA,NA,0
2020-11-06,16:57:36,94,66,74,538,1,blanc,melange_1,36,40,RCC3006,RCC1717,melange_1blanc,NA,NA,NA,NA,NA,NA,NA,0
2020-11-06,16:57:37,96,66,75,537,1,blanc,melange_1,37,41,RCC3006,RCC1717,melange_1blanc,NA,NA,NA,NA,NA,NA,NA,0
2020-11-06,16:57:39,95,66,71,537,1,blanc,melange_1,39,43,RCC3006,RCC1717,melange_1blanc,NA,NA,NA,NA,NA,NA,NA,0
2020-11-06,16:57:40,97,65,76,538,1,blanc,melange_1,40,44,RCC3006,RCC1717,melange_1blanc,NA,NA,NA,NA,NA,NA,NA,0
2020-11-06,16:57:41,98,68,76,537,1,blanc,melange_1,41,45,RCC3006,RCC1717,melange_1blanc,NA,NA,NA,NA,NA,NA,NA,0
2020-11-06,16:57:42,96,65,76,537,1,blanc,melange_1,42,46,RCC3006,RCC1717,melange_1blanc,NA,NA,NA,NA,NA,NA,NA,0
2020-11-06,16:57:43,95,64,74,537,1,blanc,melange_1,43,47,RCC3006,RCC1717,melange_1blanc,NA,NA,NA,NA,NA,NA,NA,0
2020-11-06,16:57:44,94,67,76,537,1,blanc,melange_1,44,48,RCC3006,RCC1717,melange_1blanc,NA,NA,NA,NA,NA,NA,NA,0
2020-11-06,16:57:45,95,67,74,537,1,blanc,melange_1,45,49,RCC3006,RCC1717,melange_1blanc,NA,NA,NA,NA,NA,NA,NA,0
2020-11-06,16:57:46,98,68,73,537,1,blanc,melange_1,46,50,RCC3006,RCC1717,melange_1blanc,NA,NA,NA,NA,NA,NA,NA,0
2020-11-06,16:57:47,93,67,76,537,1,blanc,melange_1,47,51,RCC3006,RCC1717,melange_1blanc,NA,NA,NA,NA,NA,NA,NA,0
2020-11-06,16:57:48,97,66,76,537,1,blanc,melange_1,48,52,RCC3006,RCC1717,melange_1blanc,NA,NA,NA,NA,NA,NA,NA,0
2020-11-06,16:57:49,95,66,74,537,1,blanc,melange_1,49,53,RCC3006,RCC1717,melange_1blanc,NA,NA,NA,NA,NA,NA,NA,0
2020-11-06,16:57:50,97,66,76,537,1,blanc,melange_1,50,54,RCC3006,RCC1717,melange_1blanc,NA,NA,NA,NA,NA,NA,NA,0
2020-11-06,16:57:51,96,67,73,537,1,blanc,melange_1,51,55,RCC3006,RCC1717,melange_1blanc,NA,NA,NA,NA,NA,NA,NA,0
2020-11-06,16:57:52,96,64,75,537,1,blanc,melange_1,52,56,RCC3006,RCC1717,melange_1blanc,NA,NA,NA,NA,NA,NA,NA,0
2020-11-06,16:57:53,96,66,75,537,1,blanc,melange_1,53,57,RCC3006,RCC1717,melange_1blanc,NA,NA,NA,NA,NA,NA,NA,0
2020-11-06,16:57:55,95,64,73,537,1,blanc,melange_1,55,59,RCC3006,RCC1717,melange_1blanc,NA,NA,NA,NA,NA,NA,NA,0
2020-11-06,17:02:02,147,135,82,540,1,melange_a,melange_1,2,0,RCC3006,RCC1717,melange_1a,RCC3006,54.89813405,1,900,16.393999824844684,885,20,1.2199585344444444
2020-11-06,17:02:04,148,135,84,540,1,melange_a,melange_1,4,2,RCC3006,RCC1717,melange_1a,RCC3006,54.89813405,1,900,16.393999824844684,885,20,1.2199585344444444
2020-11-06,17:02:05,150,137,84,539,1,melange_a,melange_1,5,3,RCC3006,RCC1717,melange_1a,RCC3006,54.89813405,1,900,16.393999824844684,885,20,1.2199585344444444
2020-11-06,17:02:06,151,144,83,539,1,melange_a,melange_1,6,4,RCC3006,RCC1717,melange_1a,RCC3006,54.89813405,1,900,16.393999824844684,885,20,1.2199585344444444
2020-11-06,17:02:07,160,143,85,539,1,melange_a,melange_1,7,5,RCC3006,RCC1717,melange_1a,RCC3006,54.89813405,1,900,16.393999824844684,885,20,1.2199585344444444
2020-11-06,17:02:08,163,149,86,539,1,melange_a,melange_1,8,6,RCC3006,RCC1717,melange_1a,RCC3006,54.89813405,1,900,16.393999824844684,885,20,1.2199585344444444
2020-11-06,17:02:09,166,147,85,538,1,melange_a,melange_1,9,7,RCC3006,RCC1717,melange_1a,RCC3006,54.89813405,1,900,16.393999824844684,885,20,1.2199585344444444
2020-11-06,17:02:10,165,153,88,538,1,melange_a,melange_1,10,8,RCC3006,RCC1717,melange_1a,RCC3006,54.89813405,1,900,16.393999824844684,885,20,1.2199585344444444
2020-11-06,17:02:11,168,157,86,538,1,melange_a,melange_1,11,9,RCC3006,RCC1717,melange_1a,RCC3006,54.89813405,1,900,16.393999824844684,885,20,1.2199585344444444
2020-11-06,17:02:12,173,162,84,538,1,melange_a,melange_1,12,10,RCC3006,RCC1717,melange_1a,RCC3006,54.89813405,1,900,16.393999824844684,885,20,1.2199585344444444
2020-11-06,17:02:13,169,170,86,538,1,melange_a,melange_1,13,11,RCC3006,RCC1717,melange_1a,RCC3006,54.89813405,1,900,16.393999824844684,885,20,1.2199585344444444
2020-11-06,17:02:14,170,172,84,538,1,melange_a,melange_1,14,12,RCC3006,RCC1717,melange_1a,RCC3006,54.89813405,1,900,16.393999824844684,885,20,1.2199585344444444
2020-11-06,17:02:15,167,174,86,538,1,melange_a,melange_1,15,13,RCC3006,RCC1717,melange_1a,RCC3006,54.89813405,1,900,16.393999824844684,885,20,1.2199585344444444
2020-11-06,17:02:16,169,175,88,538,1,melange_a,melange_1,16,14,RCC3006,RCC1717,melange_1a,RCC3006,54.89813405,1,900,16.393999824844684,885,20,1.2199585344444444
2020-11-06,17:02:17,169,175,85,538,1,melange_a,melange_1,17,15,RCC3006,RCC1717,melange_1a,RCC3006,54.89813405,1,900,16.393999824844684,885,20,1.2199585344444444
2020-11-06,17:02:18,168,177,85,538,1,melange_a,melange_1,18,16,RCC3006,RCC1717,melange_1a,RCC3006,54.89813405,1,900,16.393999824844684,885,20,1.2199585344444444
2020-11-06,17:02:20,164,171,84,538,1,melange_a,melange_1,20,18,RCC3006,RCC1717,melange_1a,RCC3006,54.89813405,1,900,16.393999824844684,885,20,1.2199585344444444
2020-11-06,17:02:21,161,172,85,538,1,melange_a,melange_1,21,19,RCC3006,RCC1717,melange_1a,RCC3006,54.89813405,1,900,16.393999824844684,885,20,1.2199585344444444
2020-11-06,17:02:22,160,166,87,538,1,melange_a,melange_1,22,20,RCC3006,RCC1717,melange_1a,RCC3006,54.89813405,1,900,16.393999824844684,885,20,1.2199585344444444
2020-11-06,17:02:23,157,164,84,538,1,melange_a,melange_1,23,21,RCC3006,RCC1717,melange_1a,RCC3006,54.89813405,1,900,16.393999824844684,885,20,1.2199585344444444
2020-11-06,17:02:24,156,166,88,538,1,melange_a,melange_1,24,22,RCC3006,RCC1717,melange_1a,RCC3006,54.89813405,1,900,16.393999824844684,885,20,1.2199585344444444
2020-11-06,17:02:25,158,163,86,538,1,melange_a,melange_1,25,23,RCC3006,RCC1717,melange_1a,RCC3006,54.89813405,1,900,16.393999824844684,885,20,1.2199585344444444
2020-11-06,17:02:26,156,163,85,538,1,melange_a,melange_1,26,24,RCC3006,RCC1717,melange_1a,RCC3006,54.89813405,1,900,16.393999824844684,885,20,1.2199585344444444
2020-11-06,17:02:27,153,161,83,537,1,melange_a,melange_1,27,25,RCC3006,RCC1717,melange_1a,RCC3006,54.89813405,1,900,16.393999824844684,885,20,1.2199585344444444
2020-11-06,17:02:28,154,157,83,538,1,melange_a,melange_1,28,26,RCC3006,RCC1717,melange_1a,RCC3006,54.89813405,1,900,16.393999824844684,885,20,1.2199585344444444
2020-11-06,17:02:29,154,159,87,538,1,melange_a,melange_1,29,27,RCC3006,RCC1717,melange_1a,RCC3006,54.89813405,1,900,16.393999824844684,885,20,1.2199585344444444
2020-11-06,17:02:30,155,153,83,537,1,melange_a,melange_1,30,28,RCC3006,RCC1717,melange_1a,RCC3006,54.89813405,1,900,16.393999824844684,885,20,1.2199585344444444
2020-11-06,17:02:31,152,154,87,537,1,melange_a,melange_1,31,29,RCC3006,RCC1717,melange_1a,RCC3006,54.89813405,1,900,16.393999824844684,885,20,1.2199585344444444
2020-11-06,17:02:32,149,153,85,537,1,melange_a,melange_1,32,30,RCC3006,RCC1717,melange_1a,RCC3006,54.89813405,1,900,16.393999824844684,885,20,1.2199585344444444
2020-11-06,17:02:33,150,154,85,537,1,melange_a,melange_1,33,31,RCC3006,RCC1717,melange_1a,RCC3006,54.89813405,1,900,16.393999824844684,885,20,1.2199585344444444
2020-11-06,17:02:35,151,149,84,537,1,melange_a,melange_1,35,33,RCC3006,RCC1717,melange_1a,RCC3006,54.89813405,1,900,16.393999824844684,885,20,1.2199585344444444
2020-11-06,17:02:36,149,148,82,537,1,melange_a,melange_1,36,34,RCC3006,RCC1717,melange_1a,RCC3006,54.89813405,1,900,16.393999824844684,885,20,1.2199585344444444
