strain,file,replicat,wavelength,fn1,fn2,dilution,blanc
pcc9511,dilution_0.txt,A,e440,323.74074074074076,3.0893574146768126,NA,71.375
pcc9511,dilution_0.txt,A,e440,323.74074074074076,3.0893574146768126,NA,82.83928571428571
pcc9511,dilution_0.txt,A,e440,323.74074074074076,3.0893574146768126,NA,111.30357142857143
pcc9511,dilution_0.txt,A,e440,323.74074074074076,3.0893574146768126,NA,92.16071428571429
pcc9511,dilution_0.txt,A,e440,323.74074074074076,3.0893574146768126,NA,82.14285714285714
pcc9511,dilution_0.txt,A,e440,323.74074074074076,3.0893574146768126,NA,121.14285714285714
pcc9511,dilution_0.txt,A,e440,323.74074074074076,3.0893574146768126,NA,87.23214285714286
pcc9511,dilution_0.txt,A,e440,323.74074074074076,3.0893574146768126,NA,84.29824561403508
pcc9511,dilution_0.txt,A,e440,323.74074074074076,3.0893574146768126,NA,75.17857142857143
pcc9511,dilution_0.txt,A,e440,323.74074074074076,3.0893574146768126,NA,83.2280701754386
pcc9511,dilution_0.txt,A,e440,323.74074074074076,3.0893574146768126,NA,98.23214285714286
pcc9511,dilution_0.txt,A,e440,323.74074074074076,3.0893574146768126,NA,83.2280701754386
pcc9511,dilution_0.txt,A,e440,323.74074074074076,3.0893574146768126,NA,139
pcc9511,dilution_0.txt,A,e470,193.8783068783069,2.327222180097455,NA,58.25
pcc9511,dilution_0.txt,A,e470,193.8783068783069,2.327222180097455,NA,61.142857142857146
pcc9511,dilution_0.txt,A,e470,193.8783068783069,2.327222180097455,NA,67.91071428571429
pcc9511,dilution_0.txt,A,e470,193.8783068783069,2.327222180097455,NA,65.05357142857143
pcc9511,dilution_0.txt,A,e470,193.8783068783069,2.327222180097455,NA,64.80357142857143
pcc9511,dilution_0.txt,A,e470,193.8783068783069,2.327222180097455,NA,68.26785714285714
pcc9511,dilution_0.txt,A,e470,193.8783068783069,2.327222180097455,NA,58.17857142857143
pcc9511,dilution_0.txt,A,e470,193.8783068783069,2.327222180097455,NA,59.19298245614035
pcc9511,dilution_0.txt,A,e470,193.8783068783069,2.327222180097455,NA,61.089285714285715
pcc9511,dilution_0.txt,A,e470,193.8783068783069,2.327222180097455,NA,61.70175438596491
pcc9511,dilution_0.txt,A,e470,193.8783068783069,2.327222180097455,NA,64.5
pcc9511,dilution_0.txt,A,e470,193.8783068783069,2.327222180097455,NA,61.70175438596491
pcc9511,dilution_0.txt,A,e470,193.8783068783069,2.327222180097455,NA,80.44067796610169
pcc9511,dilution_0.txt,A,e532,65.08994708994709,1.646193060649426,NA,64
pcc9511,dilution_0.txt,A,e532,65.08994708994709,1.646193060649426,NA,66.875
pcc9511,dilution_0.txt,A,e532,65.08994708994709,1.646193060649426,NA,69.51785714285714
pcc9511,dilution_0.txt,A,e532,65.08994708994709,1.646193060649426,NA,81.10714285714286
pcc9511,dilution_0.txt,A,e532,65.08994708994709,1.646193060649426,NA,72.125
pcc9511,dilution_0.txt,A,e532,65.08994708994709,1.646193060649426,NA,68.71428571428571
pcc9511,dilution_0.txt,A,e532,65.08994708994709,1.646193060649426,NA,62.892857142857146
pcc9511,dilution_0.txt,A,e532,65.08994708994709,1.646193060649426,NA,71.42105263157895
pcc9511,dilution_0.txt,A,e532,65.08994708994709,1.646193060649426,NA,67.46428571428571
pcc9511,dilution_0.txt,A,e532,65.08994708994709,1.646193060649426,NA,68.9298245614035
pcc9511,dilution_0.txt,A,e532,65.08994708994709,1.646193060649426,NA,68.25
pcc9511,dilution_0.txt,A,e532,65.08994708994709,1.646193060649426,NA,68.9298245614035
pcc9511,dilution_0.txt,A,e532,65.08994708994709,1.646193060649426,NA,90.91525423728814
pcc9511,dilution_0bis.txt,A,e440,238,2.27769154801057,NA,71.375
pcc9511,dilution_0bis.txt,A,e440,238,2.27769154801057,NA,82.83928571428571
pcc9511,dilution_0bis.txt,A,e440,238,2.27769154801057,NA,111.30357142857143
