date,time,jsp,replicate,file,hms,second,replicat_bio,strain,wavelength,dc
NA,NA,NA,NA,NA,NA,NA,NA,NA,e440,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,e470,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,e532,NA
2020-10-29,21:38:17,537,1,blanc.txt,17,0,A,pcc9511,e440,69
2020-10-29,21:38:17,537,1,blanc.txt,17,0,A,pcc9511,e470,56
2020-10-29,21:38:17,537,1,blanc.txt,17,0,A,pcc9511,e532,67
2020-10-29,21:38:18,537,1,blanc.txt,18,1,A,pcc9511,e440,70
2020-10-29,21:38:18,537,1,blanc.txt,18,1,A,pcc9511,e470,58
2020-10-29,21:38:18,537,1,blanc.txt,18,1,A,pcc9511,e532,62
2020-10-29,21:38:19,536,1,blanc.txt,19,2,A,pcc9511,e440,70
2020-10-29,21:38:19,536,1,blanc.txt,19,2,A,pcc9511,e470,60
2020-10-29,21:38:19,536,1,blanc.txt,19,2,A,pcc9511,e532,61
2020-10-29,21:38:20,536,1,blanc.txt,20,3,A,pcc9511,e440,71
2020-10-29,21:38:20,536,1,blanc.txt,20,3,A,pcc9511,e470,57
2020-10-29,21:38:20,536,1,blanc.txt,20,3,A,pcc9511,e532,63
2020-10-29,21:38:21,536,1,blanc.txt,21,4,A,pcc9511,e440,72
2020-10-29,21:38:21,536,1,blanc.txt,21,4,A,pcc9511,e470,56
2020-10-29,21:38:21,536,1,blanc.txt,21,4,A,pcc9511,e532,64
2020-10-29,21:38:22,536,1,blanc.txt,22,5,A,pcc9511,e440,72
2020-10-29,21:38:22,536,1,blanc.txt,22,5,A,pcc9511,e470,56
2020-10-29,21:38:22,536,1,blanc.txt,22,5,A,pcc9511,e532,61
2020-10-29,21:38:23,536,1,blanc.txt,23,6,A,pcc9511,e440,67
2020-10-29,21:38:23,536,1,blanc.txt,23,6,A,pcc9511,e470,58
2020-10-29,21:38:23,536,1,blanc.txt,23,6,A,pcc9511,e532,64
2020-10-29,21:38:24,536,1,blanc.txt,24,7,A,pcc9511,e440,70
2020-10-29,21:38:24,536,1,blanc.txt,24,7,A,pcc9511,e470,58
2020-10-29,21:38:24,536,1,blanc.txt,24,7,A,pcc9511,e532,63
2020-10-29,21:38:25,536,1,blanc.txt,25,8,A,pcc9511,e440,69
2020-10-29,21:38:25,536,1,blanc.txt,25,8,A,pcc9511,e470,61
2020-10-29,21:38:25,536,1,blanc.txt,25,8,A,pcc9511,e532,64
2020-10-29,21:38:27,536,1,blanc.txt,27,10,A,pcc9511,e440,73
2020-10-29,21:38:27,536,1,blanc.txt,27,10,A,pcc9511,e470,60
2020-10-29,21:38:27,536,1,blanc.txt,27,10,A,pcc9511,e532,64
2020-10-29,21:38:28,535,1,blanc.txt,28,11,A,pcc9511,e440,71
2020-10-29,21:38:28,535,1,blanc.txt,28,11,A,pcc9511,e470,56
2020-10-29,21:38:28,535,1,blanc.txt,28,11,A,pcc9511,e532,64
2020-10-29,21:38:29,535,1,blanc.txt,29,12,A,pcc9511,e440,75
2020-10-29,21:38:29,535,1,blanc.txt,29,12,A,pcc9511,e470,58
