date,time,e440,e470,e532,jsp,replicate,file,hms,second
2020-10-29,21:38:17,69,56,67,537,1,blanc.txt,17,0
2020-10-29,21:38:18,70,58,62,537,1,blanc.txt,18,1
2020-10-29,21:38:19,70,60,61,536,1,blanc.txt,19,2
2020-10-29,21:38:20,71,57,63,536,1,blanc.txt,20,3
2020-10-29,21:38:21,72,56,64,536,1,blanc.txt,21,4
2020-10-29,21:38:22,72,56,61,536,1,blanc.txt,22,5
2020-10-29,21:38:23,67,58,64,536,1,blanc.txt,23,6
2020-10-29,21:38:24,70,58,63,536,1,blanc.txt,24,7
2020-10-29,21:38:25,69,61,64,536,1,blanc.txt,25,8
2020-10-29,21:38:27,73,60,64,536,1,blanc.txt,27,10
2020-10-29,21:38:28,71,56,64,535,1,blanc.txt,28,11
2020-10-29,21:38:29,75,58,65,535,1,blanc.txt,29,12
2020-10-29,21:38:30,70,58,64,535,1,blanc.txt,30,13
2020-10-29,21:38:31,74,58,63,535,1,blanc.txt,31,14
2020-10-29,21:38:32,72,58,66,535,1,blanc.txt,32,15
2020-10-29,21:38:33,75,60,63,535,1,blanc.txt,33,16
2020-10-29,21:38:34,70,57,67,535,1,blanc.txt,34,17
2020-10-29,21:38:35,70,60,62,535,1,blanc.txt,35,18
2020-10-29,21:38:36,74,57,65,535,1,blanc.txt,36,19
2020-10-29,21:38:37,71,58,64,535,1,blanc.txt,37,20
2020-10-29,21:38:38,72,57,61,535,1,blanc.txt,38,21
2020-10-29,21:38:39,72,60,67,535,1,blanc.txt,39,22
2020-10-29,21:38:40,73,59,62,535,1,blanc.txt,40,23
2020-10-29,21:38:41,75,62,67,535,1,blanc.txt,41,24
2020-10-29,21:38:43,73,60,64,535,1,blanc.txt,43,26
2020-10-29,21:38:44,73,58,63,535,1,blanc.txt,44,27
2020-10-29,21:38:45,70,59,64,535,1,blanc.txt,45,28
2020-10-29,21:38:46,70,59,62,535,1,blanc.txt,46,29
2020-10-29,21:38:47,72,57,62,535,1,blanc.txt,47,30
2020-10-29,21:38:48,69,60,64,535,1,blanc.txt,48,31
2020-10-29,21:38:49,75,59,64,535,1,blanc.txt,49,32
2020-10-29,21:38:50,71,56,64,535,1,blanc.txt,50,33
2020-10-29,21:38:51,71,56,64,535,1,blanc.txt,51,34
2020-10-29,21:38:52,72,57,64,534,1,blanc.txt,52,35
2020-10-29,21:38:53,72,57,66,534,1,blanc.txt,53,36
2020-10-29,21:38:54,69,59,66,535,1,blanc.txt,54,37
2020-10-29,21:38:55,73,58,65,535,1,blanc.txt,55,38
2020-10-29,21:38:56,72,56,63,534,1,blanc.txt,56,39
2020-10-29,21:38:57,74,54,63,534,1,blanc.txt,57,40
2020-10-29,21:38:59,71,58,65,534,1,blanc.txt,59,42
2020-10-29,21:39:00,72,57,64,534,1,blanc.txt,0,43
2020-10-29,21:39:01,72,61,64,534,1,blanc.txt,1,44
2020-10-29,21:39:02,70,54,64,534,1,blanc.txt,2,45
2020-10-29,21:39:03,70,60,65,534,1,blanc.txt,3,46
2020-10-29,21:39:04,70,59,65,534,1,blanc.txt,4,47
2020-10-29,21:39:05,71,56,65,534,1,blanc.txt,5,48
2020-10-29,21:39:06,73,59,65,534,1,blanc.txt,6,49
2020-10-29,21:39:07,70,58,64,534,1,blanc.txt,7,50
2020-10-29,21:39:08,68,60,64,534,1,blanc.txt,8,51
2020-10-29,21:39:09,68,60,65,534,1,blanc.txt,9,52
2020-10-29,21:39:10,72,62,63,534,1,blanc.txt,10,53
