date,time,e440,e470,e532,jsp,replicate,file,hms,second
2020-10-29,19:44:32,74,62,69,537,1,blanc.txt,32,0
2020-10-29,19:44:33,74,63,70,537,1,blanc.txt,33,1
2020-10-29,19:44:34,74,60,66,537,1,blanc.txt,34,2
2020-10-29,19:44:35,74,59,68,536,1,blanc.txt,35,3
2020-10-29,19:44:36,76,61,65,536,1,blanc.txt,36,4
2020-10-29,19:44:37,74,59,65,536,1,blanc.txt,37,5
2020-10-29,19:44:38,75,63,68,536,1,blanc.txt,38,6
2020-10-29,19:44:39,74,61,68,536,1,blanc.txt,39,7
2020-10-29,19:44:40,76,59,67,536,1,blanc.txt,40,8
2020-10-29,19:44:41,75,58,67,536,1,blanc.txt,41,9
2020-10-29,19:44:42,78,62,67,535,1,blanc.txt,42,10
2020-10-29,19:44:43,72,63,68,536,1,blanc.txt,43,11
2020-10-29,19:44:44,73,61,69,536,1,blanc.txt,44,12
2020-10-29,19:44:45,78,62,67,536,1,blanc.txt,45,13
2020-10-29,19:44:47,75,62,68,535,1,blanc.txt,47,15
2020-10-29,19:44:48,74,63,67,535,1,blanc.txt,48,16
2020-10-29,19:44:49,77,63,65,535,1,blanc.txt,49,17
2020-10-29,19:44:50,75,59,68,535,1,blanc.txt,50,18
2020-10-29,19:44:51,78,61,67,535,1,blanc.txt,51,19
2020-10-29,19:44:52,75,61,67,535,1,blanc.txt,52,20
2020-10-29,19:44:53,75,62,67,535,1,blanc.txt,53,21
2020-10-29,19:44:54,74,59,66,535,1,blanc.txt,54,22
2020-10-29,19:44:55,77,61,64,535,1,blanc.txt,55,23
2020-10-29,19:44:56,72,62,65,535,1,blanc.txt,56,24
2020-10-29,19:44:57,75,62,70,535,1,blanc.txt,57,25
2020-10-29,19:44:58,75,62,70,535,1,blanc.txt,58,26
2020-10-29,19:44:59,78,64,67,535,1,blanc.txt,59,27
2020-10-29,19:45:00,75,61,65,535,1,blanc.txt,0,28
2020-10-29,19:45:01,74,60,69,535,1,blanc.txt,1,29
2020-10-29,19:45:03,77,62,67,535,1,blanc.txt,3,31
2020-10-29,19:45:04,73,60,69,535,1,blanc.txt,4,32
2020-10-29,19:45:05,74,62,70,535,1,blanc.txt,5,33
2020-10-29,19:45:06,76,63,68,535,1,blanc.txt,6,34
2020-10-29,19:45:07,74,59,69,535,1,blanc.txt,7,35
2020-10-29,19:45:08,75,60,69,535,1,blanc.txt,8,36
2020-10-29,19:45:09,74,63,67,535,1,blanc.txt,9,37
2020-10-29,19:45:10,75,60,69,535,1,blanc.txt,10,38
2020-10-29,19:45:11,74,59,66,535,1,blanc.txt,11,39
2020-10-29,19:45:12,74,62,69,535,1,blanc.txt,12,40
2020-10-29,19:45:13,75,59,71,535,1,blanc.txt,13,41
2020-10-29,19:45:14,76,63,68,535,1,blanc.txt,14,42
2020-10-29,19:45:15,77,59,67,534,1,blanc.txt,15,43
2020-10-29,19:45:16,79,62,66,535,1,blanc.txt,16,44
2020-10-29,19:45:17,75,62,70,535,1,blanc.txt,17,45
2020-10-29,19:45:19,77,63,66,535,1,blanc.txt,19,47
2020-10-29,19:45:20,75,62,70,535,1,blanc.txt,20,48
2020-10-29,19:45:21,76,61,67,534,1,blanc.txt,21,49
2020-10-29,19:45:22,76,62,68,534,1,blanc.txt,22,50
2020-10-29,19:45:23,74,61,67,534,1,blanc.txt,23,51
2020-10-29,19:45:24,75,60,66,534,1,blanc.txt,24,52
2020-10-29,19:45:25,75,62,69,534,1,blanc.txt,25,53
2020-10-29,19:45:26,75,60,65,534,1,blanc.txt,26,54
2020-10-29,19:45:27,73,58,66,534,1,blanc.txt,27,55
2020-10-29,19:45:28,77,60,70,534,1,blanc.txt,28,56
2020-10-29,19:45:29,78,60,66,534,1,blanc.txt,29,57
2020-10-29,19:45:30,75,62,64,534,1,blanc.txt,30,58
2020-10-29,18:45:30,345,433,109,539,1,dilution_1.txt,30,0
2020-10-29,18:45:31,349,442,112,539,1,dilution_1.txt,31,1
2020-10-29,18:45:32,344,431,110,538,1,dilution_1.txt,32,2
2020-10-29,18:45:33,337,420,110,538,1,dilution_1.txt,33,3
2020-10-29,18:45:34,343,428,109,538,1,dilution_1.txt,34,4
2020-10-29,18:45:35,347,433,112,538,1,dilution_1.txt,35,5
2020-10-29,18:45:36,353,437,113,538,1,dilution_1.txt,36,6
2020-10-29,18:45:37,357,443,113,538,1,dilution_1.txt,37,7
2020-10-29,18:45:38,354,445,116,538,1,dilution_1.txt,38,8
2020-10-29,18:45:39,356,441,110,537,1,dilution_1.txt,39,9
2020-10-29,18:45:40,346,437,111,538,1,dilution_1.txt,40,10
2020-10-29,18:45:41,346,436,110,538,1,dilution_1.txt,41,11
2020-10-29,18:45:42,349,439,110,537,1,dilution_1.txt,42,12
2020-10-29,18:45:44,350,435,112,537,1,dilution_1.txt,44,14
2020-10-29,18:45:45,347,439,113,537,1,dilution_1.txt,45,15
2020-10-29,18:45:46,352,445,113,537,1,dilution_1.txt,46,16
2020-10-29,18:45:47,346,442,116,537,1,dilution_1.txt,47,17
2020-10-29,18:45:48,345,435,108,537,1,dilution_1.txt,48,18
2020-10-29,18:45:49,349,432,114,537,1,dilution_1.txt,49,19
2020-10-29,18:45:50,347,436,111,537,1,dilution_1.txt,50,20
2020-10-29,18:45:51,346,433,112,537,1,dilution_1.txt,51,21
2020-10-29,18:45:52,348,433,110,537,1,dilution_1.txt,52,22
2020-10-29,18:45:53,357,441,114,537,1,dilution_1.txt,53,23
2020-10-29,18:45:54,356,445,112,537,1,dilution_1.txt,54,24
2020-10-29,18:45:55,343,429,111,537,1,dilution_1.txt,55,25
2020-10-29,18:45:56,349,439,112,537,1,dilution_1.txt,56,26
2020-10-29,18:45:57,349,438,110,537,1,dilution_1.txt,57,27
2020-10-29,18:45:59,345,436,108,537,1,dilution_1.txt,59,29
2020-10-29,18:46:00,346,430,108,537,1,dilution_1.txt,0,30
2020-10-29,18:46:01,348,439,111,537,1,dilution_1.txt,1,31
2020-10-29,18:46:02,357,442,111,537,1,dilution_1.txt,2,32
2020-10-29,18:46:03,361,448,113,537,1,dilution_1.txt,3,33
2020-10-29,18:46:04,357,445,114,536,1,dilution_1.txt,4,34
2020-10-29,18:46:05,351,443,110,536,1,dilution_1.txt,5,35
2020-10-29,18:46:06,353,443,113,537,1,dilution_1.txt,6,36
2020-10-29,18:46:07,351,445,115,536,1,dilution_1.txt,7,37
2020-10-29,18:46:08,351,439,112,536,1,dilution_1.txt,8,38
2020-10-29,18:46:09,344,430,110,536,1,dilution_1.txt,9,39
2020-10-29,18:46:10,348,431,111,536,1,dilution_1.txt,10,40
2020-10-29,18:46:11,350,432,112,536,1,dilution_1.txt,11,41
2020-10-29,18:46:12,348,441,111,536,1,dilution_1.txt,12,42
2020-10-29,18:46:13,349,443,114,536,1,dilution_1.txt,13,43
2020-10-29,18:46:15,352,443,112,536,1,dilution_1.txt,15,45
2020-10-29,18:46:16,348,439,114,536,1,dilution_1.txt,16,46
2020-10-29,18:46:17,354,443,113,536,1,dilution_1.txt,17,47
2020-10-29,18:46:18,350,438,111,536,1,dilution_1.txt,18,48
2020-10-29,18:46:19,347,440,110,536,1,dilution_1.txt,19,49
2020-10-29,18:46:20,351,438,114,536,1,dilution_1.txt,20,50
2020-10-29,18:46:21,357,444,112,536,1,dilution_1.txt,21,51
2020-10-29,18:46:22,351,432,110,536,1,dilution_1.txt,22,52
2020-10-29,18:46:23,352,440,111,536,1,dilution_1.txt,23,53
2020-10-29,18:46:24,351,437,108,536,1,dilution_1.txt,24,54
2020-10-29,18:46:25,348,433,113,536,1,dilution_1.txt,25,55
2020-10-29,18:46:26,356,445,110,536,1,dilution_1.txt,26,56
2020-10-29,18:46:27,348,434,112,536,1,dilution_1.txt,27,57
2020-10-29,18:46:28,347,441,114,535,1,dilution_1.txt,28,58
2020-10-29,18:48:35,357,445,114,538,2,dilution_1.txt,35,185
2020-10-29,18:48:36,353,444,112,538,2,dilution_1.txt,36,186
2020-10-29,18:48:37,348,434,109,538,2,dilution_1.txt,37,187
2020-10-29,18:48:39,352,440,111,537,2,dilution_1.txt,39,189
2020-10-29,18:48:40,356,445,115,537,2,dilution_1.txt,40,190
2020-10-29,18:48:41,354,446,112,537,2,dilution_1.txt,41,191
2020-10-29,18:48:42,353,443,113,537,2,dilution_1.txt,42,192
2020-10-29,18:48:43,359,447,113,537,2,dilution_1.txt,43,193
2020-10-29,18:48:44,358,444,117,537,2,dilution_1.txt,44,194
2020-10-29,18:48:45,355,443,112,537,2,dilution_1.txt,45,195
2020-10-29,18:48:46,347,431,112,537,2,dilution_1.txt,46,196
