date,time,e440,e470,e532,jsp,replicate,file,second,hms
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-10-31,14:30:00,139,78,89,537,1,blanc.txt,1,0
2020-10-31,14:30:00,139,81,89,536,1,blanc.txt,2,0
2020-10-31,14:30:00,140,79,91,536,1,blanc.txt,3,0
2020-10-31,14:30:00,137,79,91,536,1,blanc.txt,4,0
2020-10-31,14:30:00,139,80,91,536,1,blanc.txt,5,0
2020-10-31,14:30:00,137,79,93,536,1,blanc.txt,6,0
2020-10-31,14:30:00,141,81,94,536,1,blanc.txt,7,0
2020-10-31,14:30:00,138,81,91,536,1,blanc.txt,8,0
2020-10-31,14:30:00,140,81,90,536,1,blanc.txt,9,0
2020-10-31,14:30:00,139,84,89,535,1,blanc.txt,10,0
2020-10-31,14:30:00,138,78,89,536,1,blanc.txt,11,0
2020-10-31,14:30:00,138,81,95,535,1,blanc.txt,12,0
2020-10-31,14:30:00,143,81,90,535,1,blanc.txt,13,0
2020-10-31,14:30:00,137,78,91,535,1,blanc.txt,14,0
2020-10-31,14:30:00,143,83,89,535,1,blanc.txt,15,0
2020-10-31,14:30:00,140,83,88,535,1,blanc.txt,16,0
2020-10-31,14:30:00,137,81,94,535,1,blanc.txt,17,0
2020-10-31,14:30:00,140,79,90,535,1,blanc.txt,18,0
2020-10-31,14:30:00,139,81,88,535,1,blanc.txt,19,0
2020-10-31,14:30:00,140,81,91,535,1,blanc.txt,20,0
2020-10-31,14:30:00,138,78,93,535,1,blanc.txt,21,0
2020-10-31,14:30:00,140,78,89,535,1,blanc.txt,22,0
2020-10-31,14:30:00,138,82,89,535,1,blanc.txt,23,0
2020-10-31,14:30:00,142,75,91,535,1,blanc.txt,24,0
2020-10-31,14:30:00,138,79,91,535,1,blanc.txt,25,0
2020-10-31,14:30:00,139,85,91,535,1,blanc.txt,26,0
2020-10-31,14:30:00,139,83,86,535,1,blanc.txt,27,0
2020-10-31,14:30:00,138,77,94,535,1,blanc.txt,28,0
2020-10-31,14:30:00,135,80,94,535,1,blanc.txt,29,0
