date,time,e440,e470,e532,jsp,replicate,file,hms,second
2020-11-04,14:44:41,94,65,70,537,1,blanc.txt,41,0
2020-11-04,14:44:42,92,63,71,537,1,blanc.txt,42,1
2020-11-04,14:44:43,91,66,73,537,1,blanc.txt,43,2
2020-11-04,14:44:44,93,65,71,536,1,blanc.txt,44,3
2020-11-04,14:44:45,92,60,70,536,1,blanc.txt,45,4
2020-11-04,14:44:46,91,65,75,536,1,blanc.txt,46,5
2020-11-04,14:44:47,89,62,69,536,1,blanc.txt,47,6
2020-11-04,14:44:48,94,63,68,536,1,blanc.txt,48,7
2020-11-04,14:44:49,92,63,71,536,1,blanc.txt,49,8
2020-11-04,14:44:50,95,62,71,536,1,blanc.txt,50,9
2020-11-04,14:44:51,93,65,73,536,1,blanc.txt,51,10
2020-11-04,14:44:52,92,61,72,536,1,blanc.txt,52,11
2020-11-04,14:44:54,92,65,73,536,1,blanc.txt,54,13
2020-11-04,14:44:55,93,60,69,536,1,blanc.txt,55,14
2020-11-04,14:44:56,95,64,70,535,1,blanc.txt,56,15
2020-11-04,14:44:57,94,59,68,535,1,blanc.txt,57,16
2020-11-04,14:44:58,89,63,69,535,1,blanc.txt,58,17
2020-11-04,14:44:59,93,64,73,535,1,blanc.txt,59,18
2020-11-04,14:45:00,90,62,71,535,1,blanc.txt,0,19
2020-11-04,14:45:01,91,63,71,535,1,blanc.txt,1,20
2020-11-04,14:45:02,90,64,74,535,1,blanc.txt,2,21
2020-11-04,14:45:03,94,62,71,535,1,blanc.txt,3,22
2020-11-04,14:45:04,88,65,72,535,1,blanc.txt,4,23
2020-11-04,14:45:05,93,64,71,535,1,blanc.txt,5,24
2020-11-04,14:45:06,92,62,70,535,1,blanc.txt,6,25
2020-11-04,14:45:07,89,61,74,535,1,blanc.txt,7,26
2020-11-04,14:45:08,93,64,72,535,1,blanc.txt,8,27
2020-11-04,14:45:09,95,65,71,535,1,blanc.txt,9,28
2020-11-04,14:45:11,90,64,71,535,1,blanc.txt,11,30
2020-11-04,14:45:12,90,58,69,535,1,blanc.txt,12,31
2020-11-04,14:45:13,93,65,70,535,1,blanc.txt,13,32
2020-11-04,14:45:14,92,64,74,535,1,blanc.txt,14,33
2020-11-04,14:45:15,89,63,69,535,1,blanc.txt,15,34
2020-11-04,14:45:16,95,66,74,535,1,blanc.txt,16,35
2020-11-04,14:45:17,93,60,70,535,1,blanc.txt,17,36
2020-11-04,14:45:18,95,64,73,535,1,blanc.txt,18,37
2020-11-04,14:45:19,93,64,70,535,1,blanc.txt,19,38
2020-11-04,14:45:20,89,62,70,535,1,blanc.txt,20,39
2020-11-04,14:45:21,91,64,76,535,1,blanc.txt,21,40
2020-11-04,14:45:22,95,62,72,535,1,blanc.txt,22,41
2020-11-04,14:45:23,94,65,70,535,1,blanc.txt,23,42
2020-11-04,14:45:24,94,62,75,534,1,blanc.txt,24,43
2020-11-04,14:45:25,92,65,68,535,1,blanc.txt,25,44
2020-11-04,14:45:27,91,64,73,534,1,blanc.txt,27,46
2020-11-04,14:45:28,97,62,72,534,1,blanc.txt,28,47
2020-11-04,14:45:29,94,64,69,534,1,blanc.txt,29,48
2020-11-04,14:45:30,93,63,71,534,1,blanc.txt,30,49
2020-11-04,14:45:31,92,66,72,534,1,blanc.txt,31,50
2020-11-04,14:45:32,94,61,71,534,1,blanc.txt,32,51
2020-11-04,14:45:33,94,61,71,534,1,blanc.txt,33,52
2020-11-04,14:45:34,93,62,73,534,1,blanc.txt,34,53
2020-11-04,14:45:35,93,64,72,534,1,blanc.txt,35,54
2020-11-04,14:45:36,91,61,71,534,1,blanc.txt,36,55
2020-11-04,14:45:37,92,59,71,534,1,blanc.txt,37,56
2020-11-04,14:45:38,92,63,72,534,1,blanc.txt,38,57
2020-11-04,14:45:39,92,64,73,534,1,blanc.txt,39,58
2020-11-04,14:45:40,93,61,72,534,1,blanc.txt,40,59
2020-11-04,13:56:46,344,205,72,539,1,dilution_1.txt,46,0
2020-11-04,13:56:47,348,210,71,539,1,dilution_1.txt,47,1
2020-11-04,13:56:48,350,203,74,538,1,dilution_1.txt,48,2
2020-11-04,13:56:49,345,206,71,538,1,dilution_1.txt,49,3
2020-11-04,13:56:50,350,204,75,538,1,dilution_1.txt,50,4
2020-11-04,13:56:51,349,201,72,538,1,dilution_1.txt,51,5
2020-11-04,13:56:52,352,208,74,538,1,dilution_1.txt,52,6
2020-11-04,13:56:53,347,202,69,537,1,dilution_1.txt,53,7
2020-11-04,13:56:54,354,209,70,537,1,dilution_1.txt,54,8
2020-11-04,13:56:55,350,206,75,537,1,dilution_1.txt,55,9
2020-11-04,13:56:56,352,206,72,537,1,dilution_1.txt,56,10
2020-11-04,13:56:57,349,205,71,537,1,dilution_1.txt,57,11
2020-11-04,13:56:58,349,207,73,537,1,dilution_1.txt,58,12
2020-11-04,13:57:00,350,208,74,537,1,dilution_1.txt,0,14
2020-11-04,13:57:01,350,204,72,537,1,dilution_1.txt,1,15
2020-11-04,13:57:02,350,204,72,537,1,dilution_1.txt,2,16
2020-11-04,13:57:03,351,210,73,537,1,dilution_1.txt,3,17
2020-11-04,13:57:04,350,202,72,537,1,dilution_1.txt,4,18
2020-11-04,13:57:05,349,206,72,537,1,dilution_1.txt,5,19
2020-11-04,13:57:06,350,207,70,537,1,dilution_1.txt,6,20
2020-11-04,13:57:07,344,204,72,537,1,dilution_1.txt,7,21
2020-11-04,13:57:08,345,206,72,537,1,dilution_1.txt,8,22
2020-11-04,13:57:09,348,204,72,537,1,dilution_1.txt,9,23
2020-11-04,13:57:10,348,206,71,536,1,dilution_1.txt,10,24
2020-11-04,13:57:11,345,208,72,537,1,dilution_1.txt,11,25
2020-11-04,13:57:12,348,205,73,536,1,dilution_1.txt,12,26
2020-11-04,13:57:13,349,210,72,537,1,dilution_1.txt,13,27
2020-11-04,13:57:15,345,207,68,536,1,dilution_1.txt,15,29
2020-11-04,13:57:16,347,205,73,537,1,dilution_1.txt,16,30
2020-11-04,13:57:17,349,206,74,537,1,dilution_1.txt,17,31
2020-11-04,13:57:18,349,205,73,536,1,dilution_1.txt,18,32
2020-11-04,13:57:19,347,206,71,536,1,dilution_1.txt,19,33
2020-11-04,13:57:20,351,208,71,536,1,dilution_1.txt,20,34
2020-11-04,13:57:21,346,205,71,536,1,dilution_1.txt,21,35
2020-11-04,13:57:22,348,206,70,536,1,dilution_1.txt,22,36
2020-11-04,13:57:23,350,204,70,536,1,dilution_1.txt,23,37
2020-11-04,13:57:24,351,203,72,536,1,dilution_1.txt,24,38
2020-11-04,13:57:25,350,205,71,536,1,dilution_1.txt,25,39
2020-11-04,13:57:26,348,206,71,536,1,dilution_1.txt,26,40
2020-11-04,13:57:27,350,204,72,536,1,dilution_1.txt,27,41
2020-11-04,13:57:28,352,207,74,536,1,dilution_1.txt,28,42
2020-11-04,13:57:29,351,207,69,536,1,dilution_1.txt,29,43
2020-11-04,13:57:31,349,207,72,536,1,dilution_1.txt,31,45
2020-11-04,13:57:32,342,204,70,536,1,dilution_1.txt,32,46
2020-11-04,13:57:33,350,204,72,536,1,dilution_1.txt,33,47
2020-11-04,13:57:34,347,204,72,536,1,dilution_1.txt,34,48
2020-11-04,13:57:35,352,201,74,536,1,dilution_1.txt,35,49
2020-11-04,13:57:36,352,205,75,536,1,dilution_1.txt,36,50
2020-11-04,13:57:37,350,205,71,536,1,dilution_1.txt,37,51
2020-11-04,13:57:38,348,206,74,536,1,dilution_1.txt,38,52
2020-11-04,13:57:39,346,204,70,536,1,dilution_1.txt,39,53
2020-11-04,13:57:40,351,204,75,536,1,dilution_1.txt,40,54
2020-11-04,13:57:41,348,203,71,536,1,dilution_1.txt,41,55
2020-11-04,13:57:42,345,206,71,536,1,dilution_1.txt,42,56
2020-11-04,13:57:43,348,206,70,536,1,dilution_1.txt,43,57
2020-11-04,13:57:44,352,202,71,536,1,dilution_1.txt,44,58
2020-11-04,13:59:56,348,206,74,538,2,dilution_1.txt,56,190
2020-11-04,13:59:57,346,206,71,538,2,dilution_1.txt,57,191
2020-11-04,13:59:58,346,204,75,538,2,dilution_1.txt,58,192
2020-11-04,13:59:59,353,202,68,537,2,dilution_1.txt,59,193
2020-11-04,14:00:00,351,204,69,537,2,dilution_1.txt,0,194
2020-11-04,14:00:01,345,202,75,537,2,dilution_1.txt,1,195
2020-11-04,14:00:02,346,202,70,537,2,dilution_1.txt,2,196
2020-11-04,14:00:03,353,209,73,537,2,dilution_1.txt,3,197
2020-11-04,14:00:04,351,208,72,537,2,dilution_1.txt,4,198
2020-11-04,14:00:06,351,205,76,536,2,dilution_1.txt,6,200
2020-11-04,14:00:07,351,207,72,536,2,dilution_1.txt,7,201
2020-11-04,14:00:08,349,202,71,537,2,dilution_1.txt,8,202
2020-11-04,14:00:09,347,207,73,536,2,dilution_1.txt,9,203
2020-11-04,14:00:10,346,208,70,536,2,dilution_1.txt,10,204
2020-11-04,14:00:11,355,208,74,536,2,dilution_1.txt,11,205
2020-11-04,14:00:12,348,205,74,536,2,dilution_1.txt,12,206
2020-11-04,14:00:13,348,203,69,536,2,dilution_1.txt,13,207
2020-11-04,14:00:14,344,204,74,536,2,dilution_1.txt,14,208
2020-11-04,14:00:15,348,205,70,536,2,dilution_1.txt,15,209
2020-11-04,14:00:16,348,207,71,536,2,dilution_1.txt,16,210
2020-11-04,14:00:17,349,206,72,536,2,dilution_1.txt,17,211
2020-11-04,14:00:18,347,206,71,536,2,dilution_1.txt,18,212
2020-11-04,14:00:19,349,203,73,536,2,dilution_1.txt,19,213
2020-11-04,14:00:20,350,206,72,536,2,dilution_1.txt,20,214
2020-11-04,14:00:22,350,204,72,536,2,dilution_1.txt,22,216
2020-11-04,14:00:23,350,207,73,536,2,dilution_1.txt,23,217
