date,time,e440,e470,e532,jsp,replicate,file,second,hms
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-10-31,14:30:00,86,62,60,538,1,blanc.txt,1,0
2020-10-31,14:30:00,83,66,63,538,1,blanc.txt,2,0
2020-10-31,14:30:00,86,62,65,538,1,blanc.txt,3,0
2020-10-31,14:30:00,84,62,63,537,1,blanc.txt,4,0
2020-10-31,14:30:00,85,64,64,537,1,blanc.txt,5,0
2020-10-31,14:30:00,86,64,63,537,1,blanc.txt,6,0
2020-10-31,14:30:00,85,64,66,537,1,blanc.txt,7,0
2020-10-31,14:30:00,86,64,63,537,1,blanc.txt,8,0
2020-10-31,14:30:00,88,64,63,537,1,blanc.txt,9,0
2020-10-31,14:30:00,84,61,65,537,1,blanc.txt,10,0
2020-10-31,14:30:00,83,64,63,537,1,blanc.txt,11,0
2020-10-31,14:30:00,85,65,62,537,1,blanc.txt,12,0
2020-10-31,14:30:00,86,66,63,537,1,blanc.txt,13,0
2020-10-31,14:30:00,86,66,63,536,1,blanc.txt,14,0
2020-10-31,14:30:00,83,65,63,537,1,blanc.txt,15,0
2020-10-31,14:30:00,81,69,65,537,1,blanc.txt,16,0
2020-10-31,14:30:00,87,66,64,536,1,blanc.txt,17,0
2020-10-31,14:30:00,83,64,66,536,1,blanc.txt,18,0
2020-10-31,14:30:00,85,64,64,536,1,blanc.txt,19,0
2020-10-31,14:30:00,83,63,65,536,1,blanc.txt,20,0
2020-10-31,14:30:00,86,65,64,536,1,blanc.txt,21,0
2020-10-31,14:30:00,84,69,63,536,1,blanc.txt,22,0
2020-10-31,14:30:00,84,68,64,536,1,blanc.txt,23,0
2020-10-31,14:30:00,83,62,62,536,1,blanc.txt,24,0
2020-10-31,14:30:00,85,64,62,536,1,blanc.txt,25,0
2020-10-31,14:30:00,82,66,64,536,1,blanc.txt,26,0
2020-10-31,14:30:00,86,64,66,536,1,blanc.txt,27,0
2020-10-31,14:30:00,84,64,63,536,1,blanc.txt,28,0
2020-10-31,14:30:00,84,64,64,536,1,blanc.txt,29,0
2020-10-31,14:30:00,88,66,66,536,1,blanc.txt,30,0
2020-10-31,14:30:00,89,64,64,536,1,blanc.txt,31,0
2020-10-31,14:30:00,85,62,60,536,1,blanc.txt,32,0
2020-10-31,14:30:00,85,66,61,536,1,blanc.txt,33,0
2020-10-31,14:30:00,85,66,65,536,1,blanc.txt,34,0
2020-10-31,14:30:00,89,63,63,535,1,blanc.txt,35,0
2020-10-31,14:30:00,84,65,63,536,1,blanc.txt,36,0
2020-10-31,14:30:00,85,65,64,535,1,blanc.txt,37,0
2020-10-31,14:30:00,83,67,62,536,1,blanc.txt,38,0
2020-10-31,14:30:00,82,65,64,536,1,blanc.txt,39,0
2020-10-31,14:30:00,82,67,63,536,1,blanc.txt,40,0
2020-10-31,14:30:00,85,65,61,536,1,blanc.txt,41,0
2020-10-31,14:30:00,85,62,63,535,1,blanc.txt,42,0
2020-10-31,14:30:00,84,65,62,535,1,blanc.txt,43,0
2020-10-31,14:30:00,81,63,64,535,1,blanc.txt,44,0
2020-10-31,14:30:00,82,70,65,535,1,blanc.txt,45,0
2020-10-31,14:30:00,85,62,61,535,1,blanc.txt,46,0
2020-10-31,14:30:00,84,65,62,535,1,blanc.txt,47,0
2020-10-31,14:30:00,85,66,65,535,1,blanc.txt,48,0
2020-10-31,14:30:00,84,64,64,535,1,blanc.txt,49,0
2020-10-31,14:30:00,86,65,61,535,1,blanc.txt,50,0
2020-10-31,14:30:00,85,64,63,536,1,blanc.txt,51,0
2020-10-31,14:30:00,88,66,62,535,1,blanc.txt,52,0
2020-10-31,14:30:00,85,65,64,535,1,blanc.txt,53,0
2020-10-31,14:30:00,83,62,65,535,1,blanc.txt,54,0
2020-10-31,14:30:00,86,65,65,535,1,blanc.txt,55,0
2020-10-31,14:30:00,85,63,62,535,1,blanc.txt,56,0
2020-10-31,14:30:00,81,65,64,535,1,blanc.txt,57,0
2020-10-31,14:30:00,86,65,64,535,1,blanc.txt,58,0
2020-10-31,14:30:00,83,66,64,638,1,blanc.txt,59,0
2020-11-06,14:46:45,297,341,109,541,1,dilution_1.txt,0,45
2020-11-06,14:46:46,290,336,106,540,1,dilution_1.txt,1,46
2020-11-06,14:46:47,286,335,105,540,1,dilution_1.txt,2,47
2020-11-06,14:46:48,292,339,106,540,1,dilution_1.txt,3,48
2020-11-06,14:46:49,299,350,108,540,1,dilution_1.txt,4,49
2020-11-06,14:46:50,294,347,103,539,1,dilution_1.txt,5,50
2020-11-06,14:46:51,295,342,106,539,1,dilution_1.txt,6,51
2020-11-06,14:46:53,287,333,105,539,1,dilution_1.txt,8,53
2020-11-06,14:46:54,289,333,107,539,1,dilution_1.txt,9,54
2020-11-06,14:46:55,292,335,106,539,1,dilution_1.txt,10,55
2020-11-06,14:46:56,297,349,105,539,1,dilution_1.txt,11,56
2020-11-06,14:46:57,287,333,110,539,1,dilution_1.txt,12,57
2020-11-06,14:46:58,288,332,105,539,1,dilution_1.txt,13,58
2020-11-06,14:46:59,301,348,103,539,1,dilution_1.txt,14,59
2020-11-06,14:47:00,291,341,106,539,1,dilution_1.txt,15,0
2020-11-06,14:47:01,288,331,106,539,1,dilution_1.txt,16,1
2020-11-06,14:47:02,292,334,108,539,1,dilution_1.txt,17,2
2020-11-06,14:47:03,288,337,107,539,1,dilution_1.txt,18,3
2020-11-06,14:47:04,292,340,107,539,1,dilution_1.txt,19,4
2020-11-06,14:47:05,294,337,109,539,1,dilution_1.txt,20,5
2020-11-06,14:47:06,294,344,104,539,1,dilution_1.txt,21,6
2020-11-06,14:47:07,295,344,108,539,1,dilution_1.txt,22,7
2020-11-06,14:47:09,293,343,108,539,1,dilution_1.txt,24,9
2020-11-06,14:47:10,292,341,105,539,1,dilution_1.txt,25,10
2020-11-06,14:47:11,292,332,106,539,1,dilution_1.txt,26,11
2020-11-06,14:47:12,293,335,106,539,1,dilution_1.txt,27,12
2020-11-06,14:47:13,297,346,106,538,1,dilution_1.txt,28,13
2020-11-06,14:47:14,301,355,105,538,1,dilution_1.txt,29,14
2020-11-06,14:47:15,297,344,106,538,1,dilution_1.txt,30,15
2020-11-06,14:47:16,293,339,107,538,1,dilution_1.txt,31,16
2020-11-06,14:47:17,291,334,106,538,1,dilution_1.txt,32,17
2020-11-06,14:47:18,287,329,103,538,1,dilution_1.txt,33,18
2020-11-06,14:47:19,290,328,108,538,1,dilution_1.txt,34,19
2020-11-06,14:47:20,293,338,104,538,1,dilution_1.txt,35,20
2020-11-06,14:47:21,294,339,103,538,1,dilution_1.txt,36,21
2020-11-06,14:47:22,297,347,111,538,1,dilution_1.txt,37,22
2020-11-06,14:47:24,299,344,107,538,1,dilution_1.txt,39,24
2020-11-06,14:47:25,295,343,109,538,1,dilution_1.txt,40,25
2020-11-06,14:47:26,295,342,104,538,1,dilution_1.txt,41,26
2020-11-06,14:47:27,299,345,109,538,1,dilution_1.txt,42,27
2020-11-06,14:47:28,295,343,107,538,1,dilution_1.txt,43,28
2020-11-06,14:47:29,298,347,105,538,1,dilution_1.txt,44,29
2020-11-06,14:47:30,302,345,107,538,1,dilution_1.txt,45,30
2020-11-06,14:47:31,298,346,105,538,1,dilution_1.txt,46,31
2020-11-06,14:47:32,303,348,107,538,1,dilution_1.txt,47,32
2020-11-06,14:47:33,299,344,105,538,1,dilution_1.txt,48,33
2020-11-06,14:47:34,296,341,108,538,1,dilution_1.txt,49,34
2020-11-06,14:47:35,295,343,104,538,1,dilution_1.txt,50,35
2020-11-06,14:47:36,296,348,105,538,1,dilution_1.txt,51,36
2020-11-06,14:47:37,300,352,108,538,1,dilution_1.txt,52,37
2020-11-06,14:47:38,299,351,107,538,1,dilution_1.txt,53,38
2020-11-06,14:47:40,296,345,107,538,1,dilution_1.txt,55,40
2020-11-06,14:47:41,302,348,112,538,1,dilution_1.txt,56,41
2020-11-06,14:47:42,291,339,105,538,1,dilution_1.txt,57,42
2020-11-06,14:47:43,296,341,108,538,1,dilution_1.txt,58,43
2020-11-06,14:47:44,296,348,108,538,1,dilution_1.txt,59,44
2020-11-06,14:49:46,299,348,104,540,2,dilution_1.txt,181,46
2020-11-06,14:49:47,292,335,105,539,2,dilution_1.txt,182,47
2020-11-06,14:49:49,293,345,108,539,2,dilution_1.txt,184,49
2020-11-06,14:49:50,298,341,106,539,2,dilution_1.txt,185,50
2020-11-06,14:49:51,300,349,103,539,2,dilution_1.txt,186,51
2020-11-06,14:49:52,295,341,109,539,2,dilution_1.txt,187,52
2020-11-06,14:49:53,296,337,106,539,2,dilution_1.txt,188,53
2020-11-06,14:49:54,290,340,108,538,2,dilution_1.txt,189,54
2020-11-06,14:49:55,296,346,108,539,2,dilution_1.txt,190,55
2020-11-06,14:49:56,296,345,106,538,2,dilution_1.txt,191,56
2020-11-06,14:49:57,296,343,107,538,2,dilution_1.txt,192,57
2020-11-06,14:49:58,299,341,104,538,2,dilution_1.txt,193,58
2020-11-06,14:49:59,285,328,107,538,2,dilution_1.txt,194,59
2020-11-06,14:50:00,284,327,103,538,2,dilution_1.txt,195,0
2020-11-06,14:50:01,288,331,105,538,2,dilution_1.txt,196,1
2020-11-06,14:50:02,295,342,108,538,2,dilution_1.txt,197,2
2020-11-06,14:50:03,295,344,106,538,2,dilution_1.txt,198,3
2020-11-06,14:50:05,288,336,105,538,2,dilution_1.txt,200,5
2020-11-06,14:50:06,293,335,106,538,2,dilution_1.txt,201,6
2020-11-06,14:50:07,294,342,106,538,2,dilution_1.txt,202,7
2020-11-06,14:50:08,296,348,108,538,2,dilution_1.txt,203,8
2020-11-06,14:50:09,298,344,104,538,2,dilution_1.txt,204,9
2020-11-06,14:50:10,295,346,106,538,2,dilution_1.txt,205,10
2020-11-06,14:50:11,298,341,109,538,2,dilution_1.txt,206,11
2020-11-06,14:50:12,296,344,105,538,2,dilution_1.txt,207,12
2020-11-06,14:50:13,296,345,108,538,2,dilution_1.txt,208,13
2020-11-06,14:50:14,289,334,106,538,2,dilution_1.txt,209,14
2020-11-06,14:50:15,293,336,108,538,2,dilution_1.txt,210,15
2020-11-06,14:50:16,293,336,104,538,2,dilution_1.txt,211,16
2020-11-06,14:50:17,295,338,103,538,2,dilution_1.txt,212,17
2020-11-06,14:50:18,293,339,107,538,2,dilution_1.txt,213,18
2020-11-06,14:50:20,292,337,104,537,2,dilution_1.txt,215,20
2020-11-06,14:50:21,292,336,105,538,2,dilution_1.txt,216,21
2020-11-06,14:50:22,295,343,108,537,2,dilution_1.txt,217,22
2020-11-06,14:50:23,299,348,107,537,2,dilution_1.txt,218,23
2020-11-06,14:50:24,300,347,105,537,2,dilution_1.txt,219,24
2020-11-06,14:50:25,297,342,107,537,2,dilution_1.txt,220,25
2020-11-06,14:50:26,296,342,106,537,2,dilution_1.txt,221,26
2020-11-06,14:50:27,299,343,106,537,2,dilution_1.txt,222,27
2020-11-06,14:50:28,289,336,105,537,2,dilution_1.txt,223,28
2020-11-06,14:50:29,291,337,108,537,2,dilution_1.txt,224,29
2020-11-06,14:50:30,289,331,103,537,2,dilution_1.txt,225,30
2020-11-06,14:50:31,291,332,109,537,2,dilution_1.txt,226,31
2020-11-06,14:50:32,288,334,107,537,2,dilution_1.txt,227,32
2020-11-06,14:50:33,297,345,108,537,2,dilution_1.txt,228,33
2020-11-06,14:50:35,292,340,107,537,2,dilution_1.txt,230,35
2020-11-06,14:50:36,298,341,106,537,2,dilution_1.txt,231,36
2020-11-06,14:50:37,301,345,105,537,2,dilution_1.txt,232,37
2020-11-06,14:50:38,296,348,108,537,2,dilution_1.txt,233,38
2020-11-06,14:50:39,300,351,108,537,2,dilution_1.txt,234,39
2020-11-06,14:50:40,298,346,109,537,2,dilution_1.txt,235,40
2020-11-06,14:50:41,295,338,108,537,2,dilution_1.txt,236,41
2020-11-06,14:50:42,289,333,106,537,2,dilution_1.txt,237,42
2020-11-06,14:50:43,287,330,107,537,2,dilution_1.txt,238,43
2020-11-06,14:50:44,299,339,107,537,2,dilution_1.txt,239,44
2020-11-06,14:52:46,298,346,109,539,3,dilution_1.txt,361,46
2020-11-06,14:52:47,295,344,105,539,3,dilution_1.txt,362,47
2020-11-06,14:52:48,297,349,109,539,3,dilution_1.txt,363,48
