date,time,e440,e470,e532,jsp,replicate,file,hms,second
2020-11-02,12:49:04,94,70,65,536,1,blanc.txt,4,0
2020-11-02,12:49:05,92,66,64,536,1,blanc.txt,5,1
2020-11-02,12:49:06,96,70,61,536,1,blanc.txt,6,2
2020-11-02,12:49:07,95,65,63,536,1,blanc.txt,7,3
2020-11-02,12:49:08,94,68,66,536,1,blanc.txt,8,4
2020-11-02,12:49:10,97,68,64,535,1,blanc.txt,10,6
2020-11-02,12:49:11,93,69,66,535,1,blanc.txt,11,7
2020-11-02,12:49:12,89,71,66,535,1,blanc.txt,12,8
2020-11-02,12:49:13,91,69,67,535,1,blanc.txt,13,9
2020-11-02,12:49:14,96,66,65,535,1,blanc.txt,14,10
2020-11-02,12:49:15,99,68,67,535,1,blanc.txt,15,11
2020-11-02,12:49:16,90,68,65,535,1,blanc.txt,16,12
2020-11-02,12:49:17,94,68,65,534,1,blanc.txt,17,13
2020-11-02,12:49:18,96,71,65,534,1,blanc.txt,18,14
2020-11-02,12:49:19,90,68,64,535,1,blanc.txt,19,15
2020-11-02,12:49:20,95,66,60,535,1,blanc.txt,20,16
2020-11-02,12:49:21,93,69,66,534,1,blanc.txt,21,17
2020-11-02,12:49:22,93,67,67,534,1,blanc.txt,22,18
2020-11-02,12:49:23,93,71,61,534,1,blanc.txt,23,19
2020-11-02,12:49:24,94,66,63,534,1,blanc.txt,24,20
2020-11-02,12:49:26,96,68,66,534,1,blanc.txt,26,22
2020-11-02,12:49:27,95,66,63,534,1,blanc.txt,27,23
2020-11-02,12:49:28,93,66,67,534,1,blanc.txt,28,24
2020-11-02,12:49:29,92,66,62,534,1,blanc.txt,29,25
2020-11-02,12:49:30,94,68,65,534,1,blanc.txt,30,26
2020-11-02,12:49:31,94,71,62,534,1,blanc.txt,31,27
2020-11-02,12:49:32,92,69,66,534,1,blanc.txt,32,28
2020-11-02,12:49:33,95,67,66,534,1,blanc.txt,33,29
2020-11-02,12:49:34,96,68,64,534,1,blanc.txt,34,30
2020-11-02,12:49:35,91,68,65,534,1,blanc.txt,35,31
2020-11-02,12:49:36,93,67,63,534,1,blanc.txt,36,32
2020-11-02,12:49:37,95,70,66,534,1,blanc.txt,37,33
2020-11-02,12:49:38,94,68,64,534,1,blanc.txt,38,34
2020-11-02,12:49:39,91,68,66,534,1,blanc.txt,39,35
2020-11-02,12:49:40,95,66,65,534,1,blanc.txt,40,36
2020-11-02,12:49:42,90,68,65,534,1,blanc.txt,42,38
2020-11-02,12:49:43,93,69,65,534,1,blanc.txt,43,39
2020-11-02,12:49:44,95,70,64,534,1,blanc.txt,44,40
2020-11-02,12:49:45,95,65,63,534,1,blanc.txt,45,41
2020-11-02,12:49:46,98,70,64,534,1,blanc.txt,46,42
2020-11-02,12:49:47,93,68,63,534,1,blanc.txt,47,43
2020-11-02,12:49:48,94,68,62,534,1,blanc.txt,48,44
2020-11-02,12:49:49,93,67,66,533,1,blanc.txt,49,45
2020-11-02,12:49:50,93,70,65,534,1,blanc.txt,50,46
2020-11-02,12:49:51,95,70,62,533,1,blanc.txt,51,47
2020-11-02,12:49:52,93,68,64,534,1,blanc.txt,52,48
2020-11-02,12:49:53,96,68,66,534,1,blanc.txt,53,49
2020-11-02,12:49:54,93,72,62,534,1,blanc.txt,54,50
2020-11-02,12:49:55,95,70,63,533,1,blanc.txt,55,51
2020-11-02,12:49:56,94,68,64,533,1,blanc.txt,56,52
2020-11-02,12:49:58,94,71,66,533,1,blanc.txt,58,54
2020-11-02,12:49:59,99,70,69,533,1,blanc.txt,59,55
2020-11-02,12:50:00,95,71,62,533,1,blanc.txt,0,56
2020-11-02,12:50:01,92,72,63,533,1,blanc.txt,1,57
2020-11-02,12:50:02,93,70,66,533,1,blanc.txt,2,58
2020-11-02,12:50:03,93,68,59,533,1,blanc.txt,3,59
2020-11-02,11:34:12,1273,1262,229,538,1,dilution_0.txt,12,0
2020-11-02,11:34:13,1267,1251,229,537,1,dilution_0.txt,13,1
2020-11-02,11:34:14,1273,1263,231,537,1,dilution_0.txt,14,2
2020-11-02,11:34:15,1279,1266,231,537,1,dilution_0.txt,15,3
2020-11-02,11:34:16,1273,1267,226,537,1,dilution_0.txt,16,4
2020-11-02,11:34:17,1283,1272,229,537,1,dilution_0.txt,17,5
2020-11-02,11:34:18,1276,1261,229,536,1,dilution_0.txt,18,6
2020-11-02,11:34:19,1275,1270,232,536,1,dilution_0.txt,19,7
2020-11-02,11:34:20,1288,1274,232,536,1,dilution_0.txt,20,8
2020-11-02,11:34:21,1280,1265,227,536,1,dilution_0.txt,21,9
2020-11-02,11:34:22,1272,1262,230,536,1,dilution_0.txt,22,10
2020-11-02,11:34:23,1281,1259,229,536,1,dilution_0.txt,23,11
2020-11-02,11:34:24,1285,1269,230,536,1,dilution_0.txt,24,12
2020-11-02,11:34:25,1290,1274,231,536,1,dilution_0.txt,25,13
2020-11-02,11:34:27,1268,1254,228,536,1,dilution_0.txt,27,15
2020-11-02,11:34:28,1291,1272,234,536,1,dilution_0.txt,28,16
2020-11-02,11:34:29,1273,1258,231,536,1,dilution_0.txt,29,17
2020-11-02,11:34:30,1276,1259,233,536,1,dilution_0.txt,30,18
2020-11-02,11:34:31,1263,1244,227,536,1,dilution_0.txt,31,19
2020-11-02,11:34:32,1254,1240,227,536,1,dilution_0.txt,32,20
2020-11-02,11:34:33,1258,1244,227,536,1,dilution_0.txt,33,21
2020-11-02,11:34:34,1273,1250,230,536,1,dilution_0.txt,34,22
2020-11-02,11:34:35,1282,1270,229,535,1,dilution_0.txt,35,23
2020-11-02,11:34:36,1291,1272,232,536,1,dilution_0.txt,36,24
2020-11-02,11:34:37,1260,1250,233,536,1,dilution_0.txt,37,25
2020-11-02,11:34:38,1272,1248,228,535,1,dilution_0.txt,38,26
2020-11-02,11:34:39,1253,1236,228,535,1,dilution_0.txt,39,27
2020-11-02,11:34:40,1270,1255,229,535,1,dilution_0.txt,40,28
2020-11-02,11:34:42,1273,1262,229,535,1,dilution_0.txt,42,30
2020-11-02,11:34:43,1259,1242,233,535,1,dilution_0.txt,43,31
2020-11-02,11:34:44,1251,1233,227,535,1,dilution_0.txt,44,32
2020-11-02,11:34:45,1263,1245,228,535,1,dilution_0.txt,45,33
2020-11-02,11:34:46,1252,1232,230,535,1,dilution_0.txt,46,34
2020-11-02,11:34:47,1245,1219,222,535,1,dilution_0.txt,47,35
2020-11-02,11:34:48,1245,1222,227,535,1,dilution_0.txt,48,36
2020-11-02,11:34:49,1255,1242,230,535,1,dilution_0.txt,49,37
2020-11-02,11:34:50,1264,1246,228,535,1,dilution_0.txt,50,38
2020-11-02,11:34:51,1250,1236,230,535,1,dilution_0.txt,51,39
2020-11-02,11:34:52,1271,1251,232,535,1,dilution_0.txt,52,40
2020-11-02,11:34:53,1275,1262,229,535,1,dilution_0.txt,53,41
2020-11-02,11:34:54,1252,1228,228,535,1,dilution_0.txt,54,42
