date,time,e440,e470,e532,jsp,replicate,file,hms,second
2020-11-04,16:22:24,89,61,71,537,1,blanc.txt,24,0
2020-11-04,16:22:25,88,59,72,537,1,blanc.txt,25,1
2020-11-04,16:22:26,87,59,74,536,1,blanc.txt,26,2
2020-11-04,16:22:27,90,57,72,536,1,blanc.txt,27,3
2020-11-04,16:22:28,89,58,69,536,1,blanc.txt,28,4
2020-11-04,16:22:29,88,59,72,536,1,blanc.txt,29,5
2020-11-04,16:22:30,89,57,71,536,1,blanc.txt,30,6
2020-11-04,16:22:31,88,59,71,536,1,blanc.txt,31,7
2020-11-04,16:22:33,85,60,71,536,1,blanc.txt,33,9
2020-11-04,16:22:34,90,58,70,535,1,blanc.txt,34,10
2020-11-04,16:22:35,89,60,69,536,1,blanc.txt,35,11
2020-11-04,16:22:36,86,64,71,535,1,blanc.txt,36,12
2020-11-04,16:22:37,89,61,70,535,1,blanc.txt,37,13
2020-11-04,16:22:38,88,55,70,535,1,blanc.txt,38,14
2020-11-04,16:22:39,90,59,71,535,1,blanc.txt,39,15
2020-11-04,16:22:40,89,60,69,535,1,blanc.txt,40,16
2020-11-04,16:22:41,88,61,71,535,1,blanc.txt,41,17
2020-11-04,16:22:42,87,61,70,535,1,blanc.txt,42,18
2020-11-04,16:22:43,89,58,68,535,1,blanc.txt,43,19
2020-11-04,16:22:44,87,61,70,535,1,blanc.txt,44,20
2020-11-04,16:22:45,90,60,72,535,1,blanc.txt,45,21
2020-11-04,16:22:46,89,63,71,535,1,blanc.txt,46,22
2020-11-04,16:22:47,92,60,70,535,1,blanc.txt,47,23
2020-11-04,16:22:49,89,57,72,535,1,blanc.txt,49,25
2020-11-04,16:22:50,90,62,71,535,1,blanc.txt,50,26
2020-11-04,16:22:51,91,63,72,535,1,blanc.txt,51,27
2020-11-04,16:22:52,88,56,72,535,1,blanc.txt,52,28
2020-11-04,16:22:53,89,62,72,535,1,blanc.txt,53,29
2020-11-04,16:22:54,87,61,70,535,1,blanc.txt,54,30
2020-11-04,16:22:55,91,57,68,535,1,blanc.txt,55,31
2020-11-04,16:22:56,88,59,74,535,1,blanc.txt,56,32
2020-11-04,16:22:57,86,58,72,535,1,blanc.txt,57,33
2020-11-04,16:22:58,88,62,72,535,1,blanc.txt,58,34
2020-11-04,16:22:59,89,60,71,535,1,blanc.txt,59,35
2020-11-04,16:23:00,87,60,71,535,1,blanc.txt,0,36
2020-11-04,16:23:01,88,60,70,534,1,blanc.txt,1,37
2020-11-04,16:23:02,85,60,71,535,1,blanc.txt,2,38
2020-11-04,16:23:03,89,61,69,535,1,blanc.txt,3,39
2020-11-04,16:23:05,89,61,72,534,1,blanc.txt,5,41
2020-11-04,16:23:06,86,60,72,535,1,blanc.txt,6,42
2020-11-04,16:23:07,89,61,71,535,1,blanc.txt,7,43
2020-11-04,16:23:08,89,60,70,534,1,blanc.txt,8,44
2020-11-04,16:23:09,86,58,70,534,1,blanc.txt,9,45
2020-11-04,16:23:10,90,59,70,535,1,blanc.txt,10,46
2020-11-04,16:23:11,88,58,68,534,1,blanc.txt,11,47
2020-11-04,16:23:12,87,59,72,535,1,blanc.txt,12,48
2020-11-04,16:23:13,88,58,72,534,1,blanc.txt,13,49
2020-11-04,16:23:14,89,60,71,534,1,blanc.txt,14,50
2020-11-04,16:23:15,89,59,70,534,1,blanc.txt,15,51
2020-11-04,16:23:16,88,59,71,534,1,blanc.txt,16,52
2020-11-04,16:23:17,89,58,71,534,1,blanc.txt,17,53
2020-11-04,16:23:18,90,59,69,534,1,blanc.txt,18,54
2020-11-04,16:23:19,89,61,71,534,1,blanc.txt,19,55
2020-11-04,16:23:21,87,58,73,534,1,blanc.txt,21,57
2020-11-04,16:23:22,90,57,70,534,1,blanc.txt,22,58
2020-11-04,16:23:23,92,60,68,534,1,blanc.txt,23,59
2020-11-04,15:35:56,175,250,130,539,1,dilution_1.txt,56,0
2020-11-04,15:35:57,174,249,133,539,1,dilution_1.txt,57,1
2020-11-04,15:35:58,177,251,130,539,1,dilution_1.txt,58,2
2020-11-04,15:35:59,175,250,133,538,1,dilution_1.txt,59,3
2020-11-04,15:36:00,172,248,128,538,1,dilution_1.txt,0,4
2020-11-04,15:36:01,177,246,134,538,1,dilution_1.txt,1,5
2020-11-04,15:36:02,179,251,132,538,1,dilution_1.txt,2,6
2020-11-04,15:36:03,178,252,130,538,1,dilution_1.txt,3,7
2020-11-04,15:36:05,177,250,133,538,1,dilution_1.txt,5,9
2020-11-04,15:36:06,177,252,135,538,1,dilution_1.txt,6,10
2020-11-04,15:36:07,178,252,134,538,1,dilution_1.txt,7,11
2020-11-04,15:36:08,172,249,130,538,1,dilution_1.txt,8,12
2020-11-04,15:36:09,178,252,133,538,1,dilution_1.txt,9,13
2020-11-04,15:36:10,175,254,129,538,1,dilution_1.txt,10,14
2020-11-04,15:36:11,177,252,134,538,1,dilution_1.txt,11,15
2020-11-04,15:36:12,179,251,133,537,1,dilution_1.txt,12,16
2020-11-04,15:36:13,175,247,131,538,1,dilution_1.txt,13,17
2020-11-04,15:36:14,179,250,131,537,1,dilution_1.txt,14,18
2020-11-04,15:36:15,178,247,134,537,1,dilution_1.txt,15,19
2020-11-04,15:36:16,172,251,134,537,1,dilution_1.txt,16,20
2020-11-04,15:36:17,178,255,132,537,1,dilution_1.txt,17,21
2020-11-04,15:36:18,174,252,133,537,1,dilution_1.txt,18,22
2020-11-04,15:36:19,180,253,132,537,1,dilution_1.txt,19,23
2020-11-04,15:36:21,175,250,130,537,1,dilution_1.txt,21,25
2020-11-04,15:36:22,177,247,135,537,1,dilution_1.txt,22,26
2020-11-04,15:36:23,177,251,132,537,1,dilution_1.txt,23,27
2020-11-04,15:36:24,176,252,131,537,1,dilution_1.txt,24,28
2020-11-04,15:36:25,178,252,129,537,1,dilution_1.txt,25,29
2020-11-04,15:36:26,176,250,132,537,1,dilution_1.txt,26,30
2020-11-04,15:36:27,175,249,131,537,1,dilution_1.txt,27,31
2020-11-04,15:36:28,174,254,133,537,1,dilution_1.txt,28,32
2020-11-04,15:36:29,177,248,132,537,1,dilution_1.txt,29,33
2020-11-04,15:36:30,177,251,131,537,1,dilution_1.txt,30,34
2020-11-04,15:36:31,177,249,133,537,1,dilution_1.txt,31,35
2020-11-04,15:36:32,175,250,132,537,1,dilution_1.txt,32,36
2020-11-04,15:36:33,176,251,131,537,1,dilution_1.txt,33,37
2020-11-04,15:36:34,174,249,133,537,1,dilution_1.txt,34,38
2020-11-04,15:36:36,176,248,129,537,1,dilution_1.txt,36,40
2020-11-04,15:36:37,174,248,132,537,1,dilution_1.txt,37,41
2020-11-04,15:36:38,173,251,129,536,1,dilution_1.txt,38,42
2020-11-04,15:36:39,180,253,129,536,1,dilution_1.txt,39,43
2020-11-04,15:36:40,180,253,133,536,1,dilution_1.txt,40,44
2020-11-04,15:36:41,176,249,134,536,1,dilution_1.txt,41,45
2020-11-04,15:36:42,177,252,132,536,1,dilution_1.txt,42,46
2020-11-04,15:36:43,179,247,134,536,1,dilution_1.txt,43,47
2020-11-04,15:36:44,177,248,132,536,1,dilution_1.txt,44,48
2020-11-04,15:36:45,175,250,133,536,1,dilution_1.txt,45,49
2020-11-04,15:36:46,177,245,132,536,1,dilution_1.txt,46,50
2020-11-04,15:36:47,175,252,131,536,1,dilution_1.txt,47,51
2020-11-04,15:36:48,177,249,132,536,1,dilution_1.txt,48,52
2020-11-04,15:36:49,181,251,132,536,1,dilution_1.txt,49,53
2020-11-04,15:36:50,177,249,135,536,1,dilution_1.txt,50,54
2020-11-04,15:36:52,179,251,132,536,1,dilution_1.txt,52,56
2020-11-04,15:36:53,177,251,131,536,1,dilution_1.txt,53,57
2020-11-04,15:36:54,175,251,136,536,1,dilution_1.txt,54,58
2020-11-04,15:36:55,181,253,129,633,1,dilution_1.txt,55,59
2020-11-04,15:39:00,176,250,131,538,2,dilution_1.txt,0,184
2020-11-04,15:39:02,178,249,129,538,2,dilution_1.txt,2,186
2020-11-04,15:39:03,178,251,136,538,2,dilution_1.txt,3,187
2020-11-04,15:39:04,178,252,132,538,2,dilution_1.txt,4,188
2020-11-04,15:39:05,177,249,134,537,2,dilution_1.txt,5,189
2020-11-04,15:39:06,177,251,135,537,2,dilution_1.txt,6,190
2020-11-04,15:39:07,178,253,132,537,2,dilution_1.txt,7,191
2020-11-04,15:39:08,177,251,133,537,2,dilution_1.txt,8,192
2020-11-04,15:39:09,175,252,129,537,2,dilution_1.txt,9,193
2020-11-04,15:39:10,182,251,136,537,2,dilution_1.txt,10,194
2020-11-04,15:39:11,178,252,133,537,2,dilution_1.txt,11,195
2020-11-04,15:39:12,175,252,130,537,2,dilution_1.txt,12,196
2020-11-04,15:39:13,179,253,133,537,2,dilution_1.txt,13,197
2020-11-04,15:39:14,180,251,133,537,2,dilution_1.txt,14,198
2020-11-04,15:39:15,175,248,134,537,2,dilution_1.txt,15,199
2020-11-04,15:39:17,184,251,129,537,2,dilution_1.txt,17,201
2020-11-04,15:39:18,177,252,134,537,2,dilution_1.txt,18,202
2020-11-04,15:39:19,177,248,133,537,2,dilution_1.txt,19,203
2020-11-04,15:39:20,181,252,130,537,2,dilution_1.txt,20,204
2020-11-04,15:39:21,175,251,130,536,2,dilution_1.txt,21,205
2020-11-04,15:39:22,179,254,133,536,2,dilution_1.txt,22,206
2020-11-04,15:39:23,180,252,134,536,2,dilution_1.txt,23,207
2020-11-04,15:39:24,179,250,131,537,2,dilution_1.txt,24,208
2020-11-04,15:39:25,180,253,127,536,2,dilution_1.txt,25,209
2020-11-04,15:39:26,179,250,132,536,2,dilution_1.txt,26,210
2020-11-04,15:39:27,180,252,132,536,2,dilution_1.txt,27,211
2020-11-04,15:39:28,182,252,129,536,2,dilution_1.txt,28,212
2020-11-04,15:39:29,176,251,130,536,2,dilution_1.txt,29,213
2020-11-04,15:39:30,179,252,130,536,2,dilution_1.txt,30,214
2020-11-04,15:39:31,179,252,134,536,2,dilution_1.txt,31,215
2020-11-04,15:39:33,180,250,132,536,2,dilution_1.txt,33,217
2020-11-04,15:39:34,177,251,131,536,2,dilution_1.txt,34,218
2020-11-04,15:39:35,176,251,134,536,2,dilution_1.txt,35,219
2020-11-04,15:39:36,183,253,129,536,2,dilution_1.txt,36,220
2020-11-04,15:39:37,176,250,131,536,2,dilution_1.txt,37,221
2020-11-04,15:39:38,178,251,134,536,2,dilution_1.txt,38,222
2020-11-04,15:39:39,179,251,135,536,2,dilution_1.txt,39,223
2020-11-04,15:39:40,177,253,134,536,2,dilution_1.txt,40,224
2020-11-04,15:39:41,181,252,131,536,2,dilution_1.txt,41,225
2020-11-04,15:39:42,179,249,135,536,2,dilution_1.txt,42,226
2020-11-04,15:39:43,178,253,134,536,2,dilution_1.txt,43,227
2020-11-04,15:39:44,178,252,129,536,2,dilution_1.txt,44,228
2020-11-04,15:39:45,177,252,128,536,2,dilution_1.txt,45,229
2020-11-04,15:39:46,177,252,130,536,2,dilution_1.txt,46,230
2020-11-04,15:39:48,178,250,130,536,2,dilution_1.txt,48,232
2020-11-04,15:39:49,178,252,129,536,2,dilution_1.txt,49,233
2020-11-04,15:39:50,178,254,132,536,2,dilution_1.txt,50,234
2020-11-04,15:39:51,172,252,133,536,2,dilution_1.txt,51,235
2020-11-04,15:39:52,178,253,134,536,2,dilution_1.txt,52,236
2020-11-04,15:39:53,180,255,131,535,2,dilution_1.txt,53,237
2020-11-04,15:39:54,175,249,132,536,2,dilution_1.txt,54,238
2020-11-04,15:39:55,176,254,131,535,2,dilution_1.txt,55,239
2020-11-04,15:41:58,178,252,130,538,3,dilution_1.txt,58,362
2020-11-04,15:41:59,175,251,133,538,3,dilution_1.txt,59,363
2020-11-04,15:42:00,180,250,133,537,3,dilution_1.txt,0,364
2020-11-04,15:42:01,179,250,135,537,3,dilution_1.txt,1,365
2020-11-04,15:42:02,179,250,130,537,3,dilution_1.txt,2,366
2020-11-04,15:42:03,179,250,133,537,3,dilution_1.txt,3,367
2020-11-04,15:42:04,177,254,132,537,3,dilution_1.txt,4,368
2020-11-04,15:42:05,181,253,131,537,3,dilution_1.txt,5,369
2020-11-04,15:42:06,175,250,131,536,3,dilution_1.txt,6,370
2020-11-04,15:42:07,178,250,131,537,3,dilution_1.txt,7,371
2020-11-04,15:42:09,179,252,132,537,3,dilution_1.txt,9,373
2020-11-04,15:42:10,182,250,134,536,3,dilution_1.txt,10,374
2020-11-04,15:42:11,182,249,132,536,3,dilution_1.txt,11,375
2020-11-04,15:42:12,178,254,133,536,3,dilution_1.txt,12,376
2020-11-04,15:42:13,177,248,128,536,3,dilution_1.txt,13,377
2020-11-04,15:42:14,179,255,130,536,3,dilution_1.txt,14,378
2020-11-04,15:42:15,177,248,131,536,3,dilution_1.txt,15,379
2020-11-04,15:42:16,179,251,135,536,3,dilution_1.txt,16,380
2020-11-04,15:42:17,181,251,131,536,3,dilution_1.txt,17,381
2020-11-04,15:42:18,178,252,129,536,3,dilution_1.txt,18,382
2020-11-04,15:42:19,180,251,134,536,3,dilution_1.txt,19,383
2020-11-04,15:42:20,179,248,129,536,3,dilution_1.txt,20,384
2020-11-04,15:42:21,175,254,132,536,3,dilution_1.txt,21,385
2020-11-04,15:42:22,181,252,130,536,3,dilution_1.txt,22,386
2020-11-04,15:42:24,178,251,136,536,3,dilution_1.txt,24,388
2020-11-04,15:42:25,182,254,133,536,3,dilution_1.txt,25,389
2020-11-04,15:42:26,179,249,130,536,3,dilution_1.txt,26,390
2020-11-04,15:42:27,180,253,131,536,3,dilution_1.txt,27,391
2020-11-04,15:42:28,181,252,132,536,3,dilution_1.txt,28,392
2020-11-04,15:42:29,182,254,129,536,3,dilution_1.txt,29,393
2020-11-04,15:42:30,180,251,130,536,3,dilution_1.txt,30,394
2020-11-04,15:42:31,177,251,131,536,3,dilution_1.txt,31,395
2020-11-04,15:42:32,177,253,130,536,3,dilution_1.txt,32,396
2020-11-04,15:42:33,181,252,132,535,3,dilution_1.txt,33,397
2020-11-04,15:42:34,181,252,131,536,3,dilution_1.txt,34,398
2020-11-04,15:42:35,179,251,133,536,3,dilution_1.txt,35,399
2020-11-04,15:42:36,181,253,133,535,3,dilution_1.txt,36,400
2020-11-04,15:42:37,179,255,133,535,3,dilution_1.txt,37,401
2020-11-04,15:42:38,180,253,133,535,3,dilution_1.txt,38,402
2020-11-04,15:42:40,177,250,131,535,3,dilution_1.txt,40,404
2020-11-04,15:42:41,181,253,136,535,3,dilution_1.txt,41,405
2020-11-04,15:42:42,179,248,129,535,3,dilution_1.txt,42,406
2020-11-04,15:42:43,178,254,132,535,3,dilution_1.txt,43,407
2020-11-04,15:42:44,179,251,131,535,3,dilution_1.txt,44,408
2020-11-04,15:42:45,180,251,130,536,3,dilution_1.txt,45,409
2020-11-04,15:42:46,181,251,132,535,3,dilution_1.txt,46,410
2020-11-04,15:42:47,179,252,130,535,3,dilution_1.txt,47,411
2020-11-04,15:42:48,179,252,128,535,3,dilution_1.txt,48,412
2020-11-04,15:42:49,181,253,132,535,3,dilution_1.txt,49,413
2020-11-04,15:42:50,181,251,132,535,3,dilution_1.txt,50,414
2020-11-04,15:42:51,178,252,132,535,3,dilution_1.txt,51,415
2020-11-04,15:42:52,179,252,129,535,3,dilution_1.txt,52,416
2020-11-04,15:42:53,179,250,133,535,3,dilution_1.txt,53,417
2020-11-04,15:42:55,180,252,133,535,3,dilution_1.txt,55,419
2020-11-04,15:42:56,176,254,136,535,3,dilution_1.txt,56,420
2020-11-04,15:42:57,182,253,130,535,3,dilution_1.txt,57,421
2020-11-04,15:42:58,178,251,132,535,3,dilution_1.txt,58,422
2020-11-04,15:48:59,108,102,88,539,1,dilution_2.txt,59,0
2020-11-04,15:49:00,108,106,87,538,1,dilution_2.txt,0,1
2020-11-04,15:49:02,109,106,84,538,1,dilution_2.txt,2,3
2020-11-04,15:49:03,108,107,85,538,1,dilution_2.txt,3,4
2020-11-04,15:49:04,109,105,88,538,1,dilution_2.txt,4,5
2020-11-04,15:49:05,106,106,87,537,1,dilution_2.txt,5,6
2020-11-04,15:49:06,109,107,87,537,1,dilution_2.txt,6,7
2020-11-04,15:49:07,108,103,87,537,1,dilution_2.txt,7,8
2020-11-04,15:49:08,110,106,86,537,1,dilution_2.txt,8,9
2020-11-04,15:49:09,105,104,90,537,1,dilution_2.txt,9,10
2020-11-04,15:49:10,106,106,89,537,1,dilution_2.txt,10,11
2020-11-04,15:49:11,107,107,87,537,1,dilution_2.txt,11,12
2020-11-04,15:49:12,108,107,90,537,1,dilution_2.txt,12,13
2020-11-04,15:49:13,105,104,88,537,1,dilution_2.txt,13,14
2020-11-04,15:49:14,109,105,91,537,1,dilution_2.txt,14,15
2020-11-04,15:49:15,108,110,89,537,1,dilution_2.txt,15,16
2020-11-04,15:49:16,107,104,88,537,1,dilution_2.txt,16,17
2020-11-04,15:49:18,106,102,89,537,1,dilution_2.txt,18,19
2020-11-04,15:49:19,107,107,87,537,1,dilution_2.txt,19,20
2020-11-04,15:49:20,103,104,87,536,1,dilution_2.txt,20,21
2020-11-04,15:49:21,110,105,91,537,1,dilution_2.txt,21,22
2020-11-04,15:49:22,105,102,89,536,1,dilution_2.txt,22,23
2020-11-04,15:49:23,108,105,88,536,1,dilution_2.txt,23,24
2020-11-04,15:49:24,110,106,88,536,1,dilution_2.txt,24,25
2020-11-04,15:49:25,105,108,83,536,1,dilution_2.txt,25,26
2020-11-04,15:49:26,110,104,86,536,1,dilution_2.txt,26,27
2020-11-04,15:49:27,109,103,89,536,1,dilution_2.txt,27,28
2020-11-04,15:49:28,105,104,91,536,1,dilution_2.txt,28,29
2020-11-04,15:49:29,110,103,92,536,1,dilution_2.txt,29,30
2020-11-04,15:49:30,109,105,87,536,1,dilution_2.txt,30,31
2020-11-04,15:49:31,106,104,90,536,1,dilution_2.txt,31,32
2020-11-04,15:49:33,103,105,87,536,1,dilution_2.txt,33,34
2020-11-04,15:49:34,107,105,90,536,1,dilution_2.txt,34,35
2020-11-04,15:49:35,108,105,86,536,1,dilution_2.txt,35,36
2020-11-04,15:49:36,110,107,88,536,1,dilution_2.txt,36,37
2020-11-04,15:49:37,107,107,87,536,1,dilution_2.txt,37,38
2020-11-04,15:49:38,109,105,88,536,1,dilution_2.txt,38,39
2020-11-04,15:49:39,108,102,91,536,1,dilution_2.txt,39,40
2020-11-04,15:49:40,106,107,89,536,1,dilution_2.txt,40,41
