Sample ID; Description
PETIT_01; zeroair1
PETIT_02; Blanc01
PETIT_03; Blanc02
PETIT_04; RCC9511_A_D1
PETIT_05; RCC2379_A_D4
PETIT_06; RCC4212_A_DM
PETIT_07; RCC0076_A_D0
PETIT_08; RCC3006_A_DM
PETIT_09; RCC0100_A_D2
PETIT_10; RCC2379_A_D2
PETIT_11; RCC4213_A_D2
PETIT_12; RCC2379_A_DM
PETIT_13; Blanc03
PETIT_14; RCC1717_A_D2
PETIT_15; RCC0076_A_DM
PETIT_16; RCC0100_A_DM
PETIT_17; RCC2374_A_DM
PETIT_18; RCC0076_A_D2
PETIT_19; RCC9511_A_D0
PETIT_20; RCC3006_A_D2
PETIT_21; Blanc04
PETIT_22; zeroair2
