Sample ID, Description, Type
PETIT_01, zeroair1, Sample
PETIT_02, Blanc01, Sample
PETIT_03, Blanc02, Sample
PETIT_04, RCC9511_A_D1, Sample
PETIT_05, RCC2379_A_D4, Sample
PETIT_06, RCC4212_A_DM, Sample
PETIT_07, RCC0076_A_D0, Sample
PETIT_08, RCC3006_A_DM, Sample
PETIT_09, RCC0100_A_D2, Sample
PETIT_10, RCC2379_A_D2, Sample
PETIT_11, RCC4213_A_D2, Sample
PETIT_12, RCC2379_A_DM, Sample
PETIT_13, Blanc03, Sample
PETIT_14, RCC1717_A_D2, Sample
PETIT_15, RCC0076_A_DM, Sample
PETIT_16, RCC0100_A_DM, Sample
PETIT_17, RCC2374_A_DM, Sample
PETIT_18, RCC0076_A_D2, Sample
PETIT_19, RCC9511_A_D0, Sample
PETIT_20, RCC3006_A_D2, Sample
PETIT_21, Blanc04, Sample
PETIT_22, zeroair2, Sample
