Sample ID, Description, Type
PETIT_23, zeroair1, Sample
PETIT_24, Blanc01, Sample
PETIT_25, Blanc02, Sample
PETIT_26, RCC9511_A_DM, Sample
PETIT_27, RCC0156_A_DM, Sample
PETIT_28, RCC2379_A_DM, Sample
PETIT_29, RCC2919_A_D2, Sample
PETIT_30, RCC2374_A_DX, Sample
PETIT_31, RCC0156_A_D2, Sample
PETIT_32, RCC1717_A_DM, Sample
PETIT_33, RCC9511_2319_C, Sample
PETIT_34, RCC1717_3006_Ca, Sample
PETIT_35, RCC3006_1717_Cb, Sample
PETIT_36, RCC1717_9511_C, Sample
PETIT_37, RCC2319_9511_C, Sample
PETIT_38, Blanc03, Sample
PETIT_39, RCC2379_B_DM, Sample
PETIT_40, RCC9511_B_DM, Sample
PETIT_41, RCC9511_B_D2, Sample
PETIT_42, RCC3006_B_DM, Sample
PETIT_43, RCC1717_B_DM, Sample
PETIT_44, RCC4213_B_DM, Sample
PETIT_45, RCC2379_B_D2, Sample
PETIT_46, RCC0076_B_D0, Sample
PETIT_47, RCC2374_B_DM, Sample
PETIT_48, RCC2319_1717_C, Sample
PETIT_49, RCC9511_1717_C, Sample
PETIT_50, RCC1717_2319_C, Sample
PETIT_51, Blanc04, Sample
PETIT-52, RCC1717_B_D, Sample
PETIT-53, RCC156_B_D2, Sample
PETIT-54, RCC2319_B_D2, Sample
PETIT-55, RCC76_B_DM, Sample
PETIT-56, Blanc05, Sample
PETIT-57, Zeroair2, Sample
