Sample ID; Description
PETIT_58; zeroair1
PETIT_59; Blanc01
PETIT_60; Blanc02
PETIT_61; RCC0100_C_D2
PETIT_62; RCC0076_C_D2
PETIT_63; RCC9511_C_DM
PETIT_64; RCC1717_C_DM
PETIT_65; RCC2319_B_DM
PETIT_66; RCC3006_B_D2
PETIT_67; RCC0076_B_D2
PETIT_68; RCC2374_B_D2
PETIT_69; RCC0156_B_DM
PETIT_70; RCC0100_B_DM
PETIT_71; RCC0100_B_D2
PETIT_72; RCC4213_B_D2
PETIT_73; Blanc03
PETIT_74; RCC4213_C_DM
PETIT_75; RCC0156_C_DM
PETIT_76; RCC2379_C_D2
PETIT_77; RCC2379_D_D2
PETIT_78; RCC2319_C_DM
PETIT_79; RCC9511_C_D2
PETIT_80; RCC0076_C_DM
PETIT_81; RCC2379_C_DM
PETIT_82; RCC0076_C_D0
PETIT_83; RCC1717_C_D2
PETIT_84; Blanc04
PETIT_85; RCC0100_C_DM
PETIT_86; RCC0156_C_D2
PETIT_87; RCC2379_D_DM
PETIT_88; RCC2374_C_D2
PETIT_89; RCC2319_C_D2
PETIT_90; RCC2374_C_DM
PETIT_91; RCC4213_C_D2
PETIT_92; RCC3006_C_DM
PETIT_93; RCC3006_C_D2
PETIT_94; Blanc05
PETIT_95; zeroair2
