Sample ID, Description, Type
PETIT_58, zeroair1, Sample
PETIT_59, Blanc01, Sample
PETIT_60, Blanc02, Sample
PETIT_61, RCC0100_C_D2, Sample
PETIT_62, RCC0076_C_D2, Sample
PETIT_63, RCC9511_C_DM, Sample
PETIT_64, RCC1717_C_DM, Sample
PETIT_65, RCC2319_B_DM, Sample
PETIT_66, RCC3006_B_D2, Sample
PETIT_67, RCC0076_B_D2, Sample
PETIT_68, RCC2374_B_D2, Sample
PETIT_69, RCC0156_B_DM, Sample
PETIT_70, RCC0100_B_DM, Sample
PETIT_71, RCC0100_B_D2, Sample
PETIT_72, RCC4213_B_D2, Sample
PETIT_73, Blanc03, Sample
PETIT_74, RCC4213_C_DM, Sample
PETIT_75, RCC0156_C_DM, Sample
PETIT_76, RCC2379_C_D2, Sample
PETIT_77, RCC2379_D_D2, Sample
PETIT_78, RCC2319_C_DM, Sample
PETIT_79, RCC9511_C_D2, Sample
PETIT_80, RCC0076_C_DM, Sample
PETIT_81, RCC2379_C_DM, Sample
PETIT_82, RCC0076_C_D0, Sample
PETIT_83, RCC1717_C_D2, Sample
PETIT_84, Blanc04, Sample
PETIT_85, RCC0100_C_DM, Sample
PETIT_86, RCC0156_C_D2, Sample
PETIT_87, RCC2379_D_DM, Sample
PETIT_88, RCC2374_C_D2, Sample
PETIT_89, RCC2319_C_D2, Sample
PETIT_90, RCC2374_C_DM, Sample
PETIT_91, RCC4213_C_D2, Sample
PETIT_92, RCC3006_C_DM, Sample
PETIT_93, RCC3006_C_D2, Sample
PETIT_94, Blanc05, Sample
PETIT_95, zeroair2, Sample
